Loc2_CornyCholmc2_00000	#Cmowy l#es.
Loc3_StareWiki_00162	To je w#sitko jara zajimawe. Ale n#etko d#di! Wottra#se#s mi kupcow!
Loc3_StareWiki_00163	To jo w#sykno wjelgin zajmne, ale n#ento #di! Wut#sa#sy#s m#e kupcow!
Loc3_StareWiki_00165	Haj, drobjaz w#s#edneho dnja. #Sto chce#s?
Loc3_StareWiki_00166	Jo, drobnostki w#sednego dnja. Co co#s?
Loc3_StareWiki_00168	Na #ko mysli#s? Zaw#erno to njejsu w#sitke mali#kkos#ce. Ale to pak te#z njeje w#sitko, #sto#z #fp#redawam#F.
Loc3_StareWiki_00169	Na co mysli#s? Zaw#erno to njejsu w#sykne ma#lu#kkos#ci, ale to pak teke njejo w#sykno, co#z #fp#yedawam#F.
Loc3_StareWiki_00171	Ni#ko. Mam pak druhe kmanos#ce.
Loc3_StareWiki_00172	Nic. Mam pak druge zamo#znos#ci.
Loc3_StareWiki_00174	M#o#zu na p#rik#lad pismo druhich napodobnje#c.
Loc3_StareWiki_00175	Mogu na p#yik#lad pismo drugich napodobni#y.
Loc3_StareWiki_00177	Hej, hej - nic tak w#ot#re. Hdy#z j#onu n#e#sto k napodobnjenju ma#s, to p#oj ke mni. Snano podpismo n#ekajko znateho - to by by#lo.
Loc3_StareWiki_00178	Hej, hej - nic tak g#losnje. Ga#z raz n#eco k napodobnjenju ma#s, poj#d ku mnjo. Sna#d podpismo n#ekakego znatego - to by by#lo.
Loc3_StareWiki_00180	#Zane pjenjezy, #zane pjenjezy. Pytam n#e#sto wosebite. #Sto#z k#o#zdy nima, n#e#sto wurjadne. Hmmm, ja te#z tak prawje njew#em, #sto.
Loc3_StareWiki_00181	#Zedne pjenjeze, #zedne pjenjeze. Pytam n#eco wosebnego. Co#z ku#zdy njama, n#eco wur#ednego. Hmmm, ja teke tak p#sawje njew#em, co.
Loc3_StareWiki_00183	Zaso burik z wjeski. Te#z m#e#s#cenjo wid#da rady zelenu barbu.
Loc3_StareWiki_00184	Zasej burik ze jsy. teke m#es#canarje wi#de rad zelenu barwu.
Loc3_StareWiki_00186	#Sto z tutym #kaporom chcu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00187	Co z tym cajkom cu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00189	To je njepodpisana dowolnos#c. N#etko trjebam hi#s#ce originalne podpismo k p#rirunanju. P#oj zaso sem, hdy#z je ma#s. Dokument sej tak do#lho zd#der#zu.
Loc3_StareWiki_00190	To jo njepodpisana dowolnos#c. N#ento trjebam hy#s#ci originalne podpismo k p#yirownanju. Poj#d zasej, ga#z jo ma#s. Dokument tak d#lujko wobchowam.
Loc3_StareWiki_00192	#Sto z tutym #kaporom chcu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00193	Co z tym cajkom cu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00195	Podpismo Awgusta pod jednym p#rikazom. Dobra ideja! Hd#de mamy n#etko podpismo staji#c?
Loc3_StareWiki_00196	Podpismo Awgusta pod jadnym p#yikazom. Dobra ideja! #Do mam n#ento podpismo staji#y?
Loc3_StareWiki_00198	#Sto z tutym #kaporom chcu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00199	Co z tym cajkom cu? Ja twoje dary njetrjebam.
Loc3_StareWiki_00201	Naru#kny s#l#on#kny #kasnik! Mama mia, to je #ci droho#cinka. Tysac razow d#dak! #Sto m#o#zu za tebje #kini#c? Praj, #sto ma#s na wutrobje?
Loc3_StareWiki_00202	Rucny s#ly#ncny zeger! Mama mia, to jo #yi drogotka. Tysac raz #d#ek! Co mogu za tebje cyni#y? Gro#n, co ma#s na wut#sobje?
Loc3_StareWiki_00204	Podpismo Awgusta! Ty sy mi kadli#kka! Do#kakaj, a #sto mi za to da#s?
Loc3_StareWiki_00205	Podpismo Awgusta! ty sy m#e kjarlick! Pocakaj, a co m#e za to dajo#s?
Loc3_StareWiki_00207	D#ostanje#s podpisanu dowolnos#c jeno#z, hdy#z mi n#e#sto wosebiteho da#s.
Loc3_StareWiki_00208	Dostanjo#s podpisanu dowolnos#c jano, ga#z m#e n#eco wosebnego dajo#s.
Loc3_StareWiki_00210	Naru#kny s#l#on#kny #kasnik! To je narunanja dos#c. N#etko trjebam jeno#z hi#s#ce pobrachowacy d#d#el k napodobnjenju.
Loc3_StareWiki_00211	Rucny s#ly#ncny zeger! To jo narownanja dos#c. N#ento trjebam jano hy#s#ci felujucy #d#el k napodobnjenju.
Loc3_StareWiki_00213	Naru#kny s#l#on#kny #kasnik! To je narunanja dos#c. N#etko trjebam jeno#z hi#s#ce pobrachowacy d#d#el k napodobnjenju.
Loc3_StareWiki_00214	Rucny s#ly#ncny zeger! To jo narownanja dos#c. N#ento trjebam jano hy#s#ci felujucy #d#el k napodobnjenju.
Loc3_StareWiki_00216	To je njepodpisana dowolnos#c. N#etko trjebam hi#s#ce originalne podpismo k p#rirunanju. P#oj zaso sem, hdy#z je ma#s. Dokument sej tak do#lho zd#der#zu.
Loc3_StareWiki_00217	To jo njepodpisana dowolnos#c. N#ento trjebam hy#s#ci originalne podpismo k p#yirownanju. Poj#d zasej, ga#z jo ma#s. Dokument tak d#lujko wobchowam.
Loc3_StareWiki_00219	Podpismo Awgusta pod jednym p#rikazom. Dobra ideja! Hd#de mamy n#etko podpismo staji#c?
Loc3_StareWiki_00220	Podpismo Awgusta pod jadnym p#yikazom. Dobra ideja! #Do mam n#ento podpismo staji#y?
Loc3_StareWiki_00222	Tule ma#s. Originalne podpismo krala sej zd#der#zu - snano podpisam raz Awgustowe awtogramowe kartki za turistow.
Loc3_StareWiki_00223	How ma#s. Originalne podpismo krala se wobchowam - sna#d podpi#som raz Awgustowe awtogramowe kortki za turistow.
Loc3_StareWiki_00225	Tu ma#s potwjerd#denku. Originalny rukopis krala sej zd#der#zu - snano podpisam raz Awgustowe awtogramowe kartki za turistow.
Loc3_StareWiki_00226	How ma#s wobtwar#denje. Originalny rukopis krala se wobchowam - sna#d podpi#som raz Awgustowe awtogramowe kortki za turistow.
Loc3_StareWiki_00228	Naru#kny s#l#on#kny #kasnik! To je narunanja dos#c. Hnydom j#on Ha#n#zi pokazam.
Loc3_StareWiki_00229	Rucny s#ly#ncny zeger! To jo narownanja dos#c. Ned jen Ha#n#zy poka#zom.
Loc3_StareWiki_00231	A m#oj dokument?
Loc3_StareWiki_00232	A moj dokument?
Loc3_StareWiki_00234	Wodaj, to sym w hektice cyle zaby#l. Tule ma#s. Originalny rukopis krala sej zd#der#zu - snano podpisam raz Awgustowe awtogramowe kartki za turistow.
Loc3_StareWiki_00235	Wodaj, to som w hektice cele zaby#l. How ma#s. Originalny rukopis krala se wobchowam - sna#d podpi#som raz Awgustowe awtogramowe kortki za turistow.
Loc3_StareWiki_00237	Korejty! Trjebane wozy!
Loc3_StareWiki_00238	Karejty! Trjebane woze!
Loc3_StareWiki_00240	Ku#ke, ka#z nowe! Za k#o#zdu p#rile#znos#c!
Loc3_StareWiki_00241	Kut#se, ka#z nowe! Za ku#zdu go#dbu!
Loc3_StareWiki_00243	Korejty! Nic jeno#z za jednoho, n#e, te#z za wjacore konje!
Loc3_StareWiki_00244	Karejty, nic jano za jadnogo, n#e, teke za w#ecej konjow!
Loc3_StareWiki_00246	Za po#l tyd#denja w Parisu - jeno#z z tutymi ku#kemi je to m#o#zno!
Loc3_StareWiki_00247	Za po#l ty#denja w Parizu - a to jo jano z tymi kut#sami mo#zno!
Loc3_StareWiki_00249	Wosu#ski! B#orze budu hody! Wosu#ski!
Loc3_StareWiki_00250	Ko#lace! Skoro budu gody! Ko#lace!
Loc3_StareWiki_00252	Prawy Drje#zd#danski wosu#sk! Jeno#z tule a do#lho#z dosaha!
Loc3_StareWiki_00253	P#sawy Drje#zd#da#nski ko#lac! Jano how a tak d#lujko ako sk#lad prozny njejo!
Loc3_StareWiki_00255	Wosu#sk - n#etko te#z z r#ozynkami!
Loc3_StareWiki_00256	Ko#lac - n#ento teke z rozynkami!
Loc3_StareWiki_00258	Drobjaz! Mali#kkos#ce w#s#edneho dnja!
Loc3_StareWiki_00259	Drobne w#ecy! Ma#lu#kkos#ci w#sednego dnja!
Loc3_StareWiki_00261	Symjo za balkonowe rostliny!
Loc3_StareWiki_00262	Semje za balkonowe rostliny!
Loc3_StareWiki_00264	Cwjern a jehli#kki za roztorhanu drastu!
Loc3_StareWiki_00265	Cwjer#n a glicki za rozterganu drastwu!
Loc3_StareWiki_00267	S#l#odkos#ce za d#d#e#ci - d#densa darmotnje!
Loc3_StareWiki_00268	S#lodkos#ci za #di#yi - #dinsa zadermo!
Loc3_StareWiki_00270	Pisaj zaso raz - jeno#z z mojim pisanskim gratom!
Loc3_StareWiki_00271	Pi#s zasej raz - jano z mojim pisa#nskim materialom!
Loc3_Straze_00000	Woni stra#zuja.
Loc3_Straze_00001	Woni stra#zuju.
Loc3_Straze_00003	To je kralowski wopon.
Loc3_Straze_00004	To jo kralojski wopon.
Loc3_Straze_00006	Wopon wisa p#rewysoko.
Loc3_Straze_00007	Wopon wisy p#yewusoko.
Loc3_Straze_00009	To stra#ze wid#da!
Loc3_Straze_00010	To stra#ze wi#de!
Loc3_Straze_00012	P#red stra#zemi njem#o#zu so p#rewobleka#c!
Loc3_Straze_00013	P#yed stra#zami njamogu se p#yewobleka#y!
Loc3_Straze_00015	Stop!
Loc3_Straze_00016	Stop!
Loc3_Straze_00018	P#ristup jeno#z kralowskej sw#ojbje a s#lu#zownym!
Loc3_Straze_00019	P#yistup jano za kralojsku swoj#dbu a za s#lu#zabnych!
Loc3_Straze_00021	St#oj!
Loc3_Straze_00022	St#oj!
Loc3_Straze_00024	Hej, lud#do, to sym tola ja, Krabat! D#d#e#lam w kralowskej kuchni.
Loc3_Straze_00025	Hej, lu#de, to ga som ja, Krabat! #D#e#lam w kralojskej kuchni.
Loc3_Straze_00027	To m#o#ze k#o#zdy praji#c. P#ristup jeno#z w s#lu#zbnej dras#ce.
Loc3_Straze_00028	To mo#zo ku#zdy groni#y. P#yistup jano w s#lu#zbnej drastwje.
Loc3_Straze_00030	Stop!
Loc3_Straze_00031	Stop!
Loc3_Straze_00033	Zaperlot! Tw#oj p#re#cel ma woprawd#de wulki s#lowosk#lad. Hnydom so wr#o#cu.
Loc3_Straze_00034	Zaperlot! Twoj p#yija#yel ma nap#sawdu wjeliki s#lowosk#lad. Ned se wro#yim.
Loc3_Straze_00036	Stop! St#oj! #Zadyn p#ristup!
Loc3_Straze_00037	Stop! Stoj! #Zeden p#yistup!
Loc3_Straze_00039	P#ristup jeno#z w s#lu#zbnej dras#ce!
Loc3_Straze_00040	P#yistup jano w s#lu#zbnej drastwje!
Loc3_Straze_00042	N#etko pak skoku, kral so b#orze wr#o#ci.
Loc3_Straze_00043	N#ento pak malsnje, kral se skoro wro#yi.
Loc3_Stwa_00000	Hej, #sto ma#s tule pyta#c?
Loc3_Stwa_00001	Hej, co ma#s how pyta#y?
Loc3_Stwa_00003	Ow, wodaj#ce pro#su.
Loc3_Stwa_00004	Ow, wodaj#yo p#sosym.
Loc3_Stwa_00006	Skoku pre#k. W#on njewupada tajki, ka#z zo by #zorta zrozumi#l.
Loc3_Stwa_00007	Malsnje p#sec. Won njewugl#edajo taki, ako by #zort rozm#e#l.
Loc3_Stwa_00009	Z kim r#e#ki#s? Won!!!
Loc3_Stwa_00010	Z kim pow#eda#s? Wen!!!
Loc3_Stwa_00012	Wopa#kne domske! Won!!!
Loc3_Stwa_00013	Wopacny dom! Wen!!!
Loc3_Stwa_00015	#Sto sym #ci praji#l? Won!!!
Loc3_Stwa_00016	Co som #yi groni#l? Wen!!!
Loc3_Terassa_00000	W#on d#d#e#la.
Loc3_Terassa_00001	Won #d#e#la.
Loc3_Terassa_00003	To je hamor.
Loc3_Terassa_00004	To jo klapac.
Loc3_Terassa_00006	Njewid#di#s, zo mam d#d#e#lo?
Loc3_Terassa_00007	Njewi#di#s, a#z mam #d#e#lo?
Loc3_Terassa_00009	Nochcu z tobu r#e#ke#c!
Loc3_Terassa_00010	Njok z tobu pow#eda#y!
Loc3_Terassa_00012	Wob#lo#zenje prawje njed#der#zi. Dyrbi do wje#kora sporjed#dane by#c.
Loc3_Terassa_00013	Wob#lo#zenje p#sawje nje#dar#zy. Musy a#z do wjacora spor#e#dane by#y.
Loc3_Terassa_00015	Njed#otkaj so mojeho kowarskeho gratu!
Loc3_Terassa_00016	Njep#yimaj moje kowalne r#edy!
Loc3_Terassa_00018	Spod#diwnje. #Sto ma #c#esliski hamor tule pyta#c? M#o#ze#s da z nim te#z #zelezo wobd#d#e#la#c? Dyrbju to raz spyta#c ...
Loc3_Terassa_00019	#Diwnje. Co ma twarcowy klapac how pyta#y? Mo#zo ga won teke zelezo wob#d#e#la#y? Dejm to raz wopyta#y ...
Loc3_Terassa_00021	Hej, ty hruby kadla! Wonje#kes#cuje#s moje d#d#e#lo! N#etko je we wob#lo#zenju d#ol#kk!!!
Loc3_Terassa_00022	Hej, ty gropny golc! Ty njeces#ci#s mojo #d#e#lo! N#ento jo na wob#lo#zenju depk!
Loc3_Terassa_00024	Praj#ce tola, zo je to wot#ci#s#c palca Awgusta Sylneho! To bud#de zaw#es#ce raz turistiska atrakcija w Drje#zd#danach.
Loc3_Terassa_00025	Gro#n#yo tola, a#z jo to wot#yi#s#c palca Awgusta Mocnego! To bu#do zaw#es#ce raz turistiska zajmnostka w Drje#zd#danach.
Loc3_Terassa_00027	D#di mi z pu#ca!!!
Loc3_Terassa_00028	#Di m#e z drogi!!!
Loc3_Terassa_00030	N#etko wupadam ka#z dypornak.
Loc3_Terassa_00031	N#ent wugl#edajom ako #di#yelc.
Loc3_Terassa_00033	Ach, sk#on#knje sym zaso w sw#ojskej dras#ce.
Loc3_Terassa_00034	Ach, na ko#ncu som zasej w swojskej drastwje.
Loc3_Terassa_00036	Hdy#z mje stra#za w m#es#ce w s#lu#zbnej dras#ce lepi, d#ostanu zaso swarje.
Loc3_Terassa_00037	Ga#z m#e stra#za w m#es#ce w s#lu#zabnej drastwje #lapijo, dostanjom zasej na#s#cokane.
Loc3_Trepjena_00000	W#on tu stra#zuje.
Loc3_Trepjena_00001	Won how stra#zujo.
Loc3_Trepjena_00003	Tafla je pom#ernje nowa.
Loc3_Trepjena_00004	Tofla jo pom#ernje nowa.
Loc3_Trepjena_00006	Tafla kru#ce na s#c#enje wisa.
Loc3_Trepjena_00007	Tofla twardo na s#c#enje wisy.
Loc3_Trepjena_00009	Durje su zawrjene.
Loc3_Trepjena_00010	#Durja su zamknjone.
Loc3_Trepjena_00012	Wobraz n#ekajkeho knje#zka.
Loc3_Trepjena_00013	Wobraz n#ekakego kn#e#zka.
Loc3_Trepjena_00015	Tutu #zonu sym na dworje hi#zo wid#da#l. Na wobrazu pak je wona hi#s#ce m#loda.
Loc3_Trepjena_00016	Tu #ze#nsku som na dworje ju#zo wi#de#l. Na wobrazu pak jo wona hy#s#ci m#loda.
Loc3_Trepjena_00018	Hdy#z tak z wokna hladam - Drje#zd#dany su zaw#erno rjane m#esto.
Loc3_Trepjena_00019	Ga#z tak z woknom gl#edam - Drje#zd#dany su zaw#erno r#edne m#esto.
Loc3_Trepjena_00021	#Sto z wobrazom chcu?
Loc3_Trepjena_00022	Co z wobrazom cu?
Loc3_Trepjena_00024	Ale kak wobraz jeno#z dosahnu?
Loc3_Trepjena_00025	Ale kak wobraz jano dosegnjom?
Loc3_Trepjena_00027	Nimam klu#k!
Loc3_Trepjena_00028	Njamam kluc!
Loc3_Trepjena_00030	Wokna njem#o#zu wo#kini#c.
Loc3_Trepjena_00031	Wokna njamogu wocyni#y.
Loc3_Trepjena_00033	To njeje prawy klu#k!
Loc3_Trepjena_00034	To njejo p#sawy kluc!
Loc3_Trepjena_00036	Taflu nochcu sk#oncowa#c!
Loc3_Trepjena_00037	Toflu njok dokusow spora#y!
Loc3_Trepjena_00039	Je mi zakazane z tobu r#e#ke#c.
Loc3_Trepjena_00040	Jo m#e zakazane z tobu pow#eda#y.
Loc3_Trepjena_00042	Byrnje#z by za mnu pok#ladni#s#co by#lo, njebych #ci to praji#l.
Loc3_Trepjena_00043	Rowno#z sl#ezy m#e by pok#ladni#s#co by#lo, njeby #yi to groni#l.
Loc3_Trepjena_00045	D#di pre#k! Nima#s tu ni#ko pyta#c.
Loc3_Trepjena_00046	#Di p#sec! Njama#s how nic pyta#y.
Loc3_Trepjena_00048	Zawo#lam hnydom h#lowneho stra#znika!
Loc3_Trepjena_00049	Zawo#lam ned g#lownego stra#znika!
Loc3_Zachod_00000	Powjaz.
Loc3_Zachod_00001	#Stryck.
Loc3_Zachod_00003	Drjewjane kisty.
Loc3_Zachod_00004	Drjewjane kisty.
Loc3_Zachod_00006	Nowy d#d#el drjewjaneho #spundowanja!
Loc3_Zachod_00007	Nowy #d#el drjewjanego #spundowanja!
Loc3_Zachod_00009	Deska.
Loc3_Zachod_00010	Delka.
Loc3_Zachod_00012	Sudobjo.
Loc3_Zachod_00013	Tala#x a taski.
Loc3_Zachod_00015	Wulki ko#s.
Loc3_Zachod_00016	Wjeliki korbik.
Loc3_Zachod_00018	Drjewjane kisty.
Loc3_Zachod_00019	Drjewjane kisty.
Loc3_Zachod_00021	Puh, su p#re#ce#zke. Nimam dos#c mocy.
Loc3_Zachod_00022	Puh, te kisty su p#ye#y#e#zke. Njamam dos#c mocy.
Loc3_Zachod_00024	Kisty su p#reco hi#s#ce p#re#ce#zke za mnje.
Loc3_Zachod_00025	Kisty su p#yecej hy#s#ci p#ye#y#e#zke za mnjo.
Loc3_Zachod_00027	N#etko je suwanja dos#c!
Loc3_Zachod_00028	N#ent jo ze suwanim ko#nc!
Loc3_Zachod_00030	Za to trjebam wotpow#edny grat.
Loc3_Zachod_00031	Za to trjebam wotpow#edny r#ed.
Loc3_Zachod_00033	Tak to p#o#nd#de!
Loc3_Zachod_00034	Tak to poj#do!
Loc3_Zachod_00036	Wona je p#re#ce#nka!
Loc3_Zachod_00037	Wona jo p#ye#ya#nka!
Loc3_Zachod_00039	Tak ju hi#s#ce roz#lamam!
Loc3_Zachod_00040	Tak ju hy#s#ci roz#lamajom!
Loc3_Zachod_00042	Tajku desku wjace njetrjebam! Tule sk#oncowanych mos#cikow njeje.
Loc3_Zachod_00043	Taku delku w#ecej njetrjebam! How njejsu w#ecej #zedne mos#ciki dokusow.
Loc3_Zachod_00045	Za #ko bych je trjeba#l?
Loc3_Zachod_00046	Za co by je trjeba#l?
Loc3_Zachod_00048	Njedosahnu j#on!
Loc3_Zachod_00049	Korbik ja njedosegnjom.
Loc3_Zahrodnik_00000	W#on d#d#e#la.
Loc3_Zahrodnik_00001	Won #d#e#la.
Loc3_Zahrodnik_00003	Model twjerd#dizny.
Loc3_Zahrodnik_00004	Modelowa twa#x.
Loc3_Zahrodnik_00006	#Lopjeno.
Loc3_Zahrodnik_00007	#Lopjeno.
Loc3_Zahrodnik_00009	Budka.
Loc3_Zahrodnik_00010	Budka.
Loc3_Zahrodnik_00012	Wulke #lopjeno.
Loc3_Zahrodnik_00013	Wjelike #lopjeno.
Loc3_Zahrodnik_00015	Pisanske pjerjo.
Loc3_Zahrodnik_00016	Pisa#nske pjerje.
Loc3_Zahrodnik_00018	Dokumenty.
Loc3_Zahrodnik_00019	Dokumenty.
Loc3_Zahrodnik_00021	P#re#ce#zki ...
Loc3_Zahrodnik_00022	P#ye#y#e#zka ...
Loc3_Zahrodnik_00024	Telko li#kbow mje jeno#z zamu#ca.
Loc3_Zahrodnik_00025	Teliko licbow m#e jano zamu#yijo.
Loc3_Zahrodnik_00027	Hej, je runje tak wulka ka#z ja!
Loc3_Zahrodnik_00028	Hej, jo rowno tak wjelika ako ja!
Loc3_Zahrodnik_00030	Wupada ka#z rysowanka budki. Ju njetrjebam.
Loc3_Zahrodnik_00031	Wugl#edajo ako kreslanka budki. How njok.
Loc3_Zahrodnik_00033	Ja tola pisa#c njem#o#zu.
Loc3_Zahrodnik_00034	Ja ga pisa#y njamogu.
Loc3_Zahrodnik_00036	Njem#o#zu sp#ozna#c, za #ko su.
Loc3_Zahrodnik_00037	Njamogu spozna#y, za co su.
Loc3_Zahrodnik_00039	Pytam Handrija Zahrodnika.
Loc3_Zahrodnik_00040	R#ekam Krabat a trjebam pomoc we wa#znej nale#znos#ci. W#odny mu#z mje s#cele. W#on je praji#l, zo s#ce wy prawy mu#z za m#oj problem.
Loc3_Zahrodnik_00041	Ma#ly Jakub na swoju hrajku #kaka.
Loc3_Zahrodnik_00042	Pytam za sw#et#lowej abo wopornej #sklu Swaixtixa. Je zamknjena w kralowskim pok#ladni#s#cu.
Loc3_Zahrodnik_00043	Kajku m#o#znos#c mam, zo #sklu d#ostanu?
Loc3_Zahrodnik_00044	#Sto w#e#s wo Dinglingeru?
Loc3_Zahrodnik_00045	Hd#de namakam juwel#era?
Loc3_Zahrodnik_00046	Sym Dinglingera hi#zo zezna#l, ale prawu rozmo#lwu z nim njejsym m#e#l.
Loc3_Zahrodnik_00047	#Sto je to do budki, kotru#z tu twari#ce?
Loc3_Zahrodnik_00048	Lift? Za #ko tajke n#e#sto trjeba#ce? Wy m#es#cenjo ma#ce wr#otne p#redstawy.
Loc3_Zahrodnik_00049	Hdy bud#de lift hotowy?
Loc3_Zahrodnik_00050	Sym dos#c s#ly#sa#l - w bo#zim mjenje.
Loc3_Zahrodnik_00051	Pytam Handrija Zagrodnika.
Loc3_Zahrodnik_00052	M#e se groni Krabat a trjebam pomoc we wa#znej nastupnos#ci. Wodny mu#z jo m#e pos#la#l. Won jo groni#l, a#z s#co wy ten p#sawy za moj problem.
Loc3_Zahrodnik_00053	Ma#ly Jakub na swoje grajki caka.
Loc3_Zahrodnik_00054	Pytam za sw#eteju abo woporneju #sklu Swaixtixa. Wona jo zamknjona w kralojskej komorje pok#ladow.
Loc3_Zahrodnik_00055	Kaku mo#znos#c mam, a#z #sklu dostanjom?
Loc3_Zahrodnik_00056	Co w#e#s wo Dinglingerje?
Loc3_Zahrodnik_00057	#Do namakajom juwel#era?
Loc3_Zahrodnik_00058	Som Dinglingera ju#zo zezna#l, ale por#edne rozgrono z nim njejsom m#e#l.
Loc3_Zahrodnik_00059	Kaka jo to budka, kotaru#z how twari#yo?
Loc3_Zahrodnik_00060	Lift? Za co take n#eco trjeba#yo? Wy m#es#canarje ma#yo #diwne p#yedstajenja.
Loc3_Zahrodnik_00061	Ga bu#do lift gotowy?
Loc3_Zahrodnik_00062	Som dos#c s#ly#sa#l - na zasejwi#denje.
Loc3_Zahrodnik_00075	Ja sym Krabat. A #st#o s#ce wy?
Loc3_Zahrodnik_00076	Ja som Krabat. A chto s#co Wy?
Loc3_Zahrodnik_00078	Kajke je to mjeno! A #sto docy#la za mojim chribjetom #kini#s?
Loc3_Zahrodnik_00079	Kake jo to m#e! A co sce#lego m#e za k#yebjatom cyni#s?
Loc3_Zahrodnik_00081	Toho, kotreho#z pyta#s, steji p#red tobu. #Sto chce#s, #Slabato?
Loc3_Zahrodnik_00082	Togo, kotarego#z pyta#s, stoj p#yed tobu. Co co#s, #Slabat?
Loc3_Zahrodnik_00084	Aha! W#odny mu#z. Snano chce#s mi hi#s#ce n#e#sto pow#eda#c wo b#ludni#kkach abo zmijach, kotre#z ma#le d#d#e#ci kradnu. Rjane bajki! Dyrbju d#d#e#la#c.
Loc3_Zahrodnik_00085	Aha! Wodny mu#z. Sna#d co#s m#e hy#s#ci n#eco wulicowa#y wo b#ludnickach abo plonach, kotare#z ma#le #di#yi k#sadnu. R#edne bajki! Dejm #d#e#la#y.
Loc3_Zahrodnik_00087	Ow jej, na toho sym cyle zaby#l! Sy mudri#si ha#k sej myslach. #Sto ma#s na wutrobje, Marato?
Loc3_Zahrodnik_00088	Ow jej, na togo som ce#lo zaby#l! Sy mudrjej#sy, ako som se mysli#l. Co ma#s na wut#sobje, Marat?
Loc3_Zahrodnik_00090	Jejdyrko, we wutrobje Sakskeje!
Loc3_Zahrodnik_00091	Mojejko, we wut#sobje Sakskeje!
Loc3_Zahrodnik_00093	To woprawd#de njew#em. Snano m#o#ze #ci m#oj p#re#cel Dinglinger pomha#c.
Loc3_Zahrodnik_00094	To nap#sawdu njew#em. Sna#d mo#zo #yi moj p#yija#yel Dinglinger pomaga#y.
Loc3_Zahrodnik_00096	Johann Melchior Dinglinger je dw#orski juwel#er a z tym wulki p#re#cel Awgusta.
Loc3_Zahrodnik_00097	Johann Melchior Dinglinger jo dworski juwel#er a z tym wjeliki p#yija#yel Awgusta.
Loc3_Zahrodnik_00099	Je jedyn z wuzwolenych, kot#ri#z maja p#ristup do wutroby Sakskeje.
Loc3_Zahrodnik_00100	Jo jaden z #fwuzwolonych#F, kotare#z maju p#yistup k wut#sobje Sakskeje.
Loc3_Zahrodnik_00102	Pola njeho sym runje p#red tyd#denjom nowy wodow#od k#lad#l. Haj, m#oj so derje rozumimoj.
Loc3_Zahrodnik_00103	Pla njogo som rowno p#yed ty#denjom nowy wodowod instal#erowa#l. Jo, mej se derje rozm#ejomej.
Loc3_Zahrodnik_00105	To je #ce#zko. W#on zaso raz na wulkim nadawku Awgusta d#d#e#la a tohodla je #kasto w hrod#de.
Loc3_Zahrodnik_00106	To jo #y#e#zko. Won zasej raz na wjelikem nadawku Awgusta #d#e#la a togodla jo cesto w gro#de.
Loc3_Zahrodnik_00108	Jeli so #ci porad#di, n#ekak do hrodu p#ri#n#c, #ci lis#cik za Dinglingera napi#su. W#on je cuzym nap#re#co trochu bojazliwy.
Loc3_Zahrodnik_00109	Jo-lic doj#ypijo#s, n#ekak do groda p#yi#y, #yi list za Dinglingera napi#som. Won jo cuzym nap#ye#yiwo t#sochu bojazniwy.
Loc3_Zahrodnik_00111	W#on zaso raz na wulkim nadawku krala d#d#e#la a tu#z so cyle na to koncentruje.
Loc3_Zahrodnik_00112	Won zasej raz na wjelikem nadawku krala #d#e#la a to#y se ce#lo na to koncentruje.
Loc3_Zahrodnik_00114	Cuzym nap#re#co je p#reco hi#zo trochu bojazliwy by#l. Ja pak #ci lis#cik napisam, a t#on jemu daj. To bud#de #ci pomha#c.
Loc3_Zahrodnik_00115	Cuzym nap#ye#yiwo jo p#yecej ju#zo t#sochu bojazniwy by#l. W#e#s co - ja #yi list napi#som, a ten jomu daj. To bu#do #yi pomaga#y.
Loc3_Zahrodnik_00117	To je jara zdw#orliwje. Bo#zemje.
Loc3_Zahrodnik_00118	To jo wjelgin p#yistojnje. Na zasejwi#denje.
Loc3_Zahrodnik_00120	To je moja nowa wunamakanka: t#riposchodowy lift za moje domske.
Loc3_Zahrodnik_00121	To jo mojo nowe wunamakanje: t#yi-eta#zowy lift za moj chrom.
Loc3_Zahrodnik_00123	Tu w m#es#ce dyrbimy do wysokos#ce twari#c - m#estna dla. A hdy#z sy stary, njem#o#ze#s wjace tak lochce schody horje a dele smali#c.
Loc3_Zahrodnik_00124	How w m#es#ce dejmy do wusokos#ci twari#y - m#estna dla. A ga#z sy stary, njamo#zo#s w#ecej tak la#zko stupnice gorjej a do#loj ganja#y.
Loc3_Zahrodnik_00126	To su hakle pr#enje pospyty. M#oj swobodny #kas je jara wobmjezowany.
Loc3_Zahrodnik_00127	To su akle pr#edne wopyty, a moj lichy cas jo wjelgin wobgranicowany.
Loc3_Zahrodnik_00129	Najprjedy mam druhe nadawki, na p#rik#lad strategiske wusm#erjenje artilerije za twjerd#diznu K#pnigstein.
Loc3_Zahrodnik_00130	Nejpjerwjej mam druge nadawki, na p#yik#lad strategiske wusm#erjenje artilerije za twardnicu K#pnigstein.
Loc3_Zahrodnik_00132	Na#se w#ojwodstwo nima ani kuska zda#ca wo balistice kanonoweje kulki. A za kim rjeja? Za mnu!
