Loc2_CornyCholmc2_00002	Ein d#usterer Wald.
Loc3_Habor_00037	Du bist ein echter Pirat. Kann ich das mit$dem Enterhaken auch mal probieren ?
Loc3_Habor_00038	Gonzales, wie ging das mit dem Enterhaken ?
Loc3_Habor_00039	Was macht ein Pirat in Dresden ?
Loc3_Habor_00040	Wo bist du so unterwegs - Pirat ?
Loc3_Habor_00041	Kennst du Amerika ?
Loc3_Habor_00042	Was f#ur seltsame Piraten meinst du denn ?
Loc3_Habor_00043	Ich suche auch einen Schatz, den Schatz der Sorben.
Loc3_Habor_00044	Das ist mir alles ziemlich spanisch. Tsch#u#t.
Loc3_Habor_00047	Ich bin Krabat und wer bist du?
Loc3_Habor_00050	Man nennt mich Gonzales. Ich bin ein spanischer Pirat.
Loc3_Habor_00053	Ein spanisches M#adchen ?! Sie ist sicherlich eine Sch#pnheit. Nimm mich doch mal mit !
Loc3_Habor_00056	Das ist mir doch egal ! Wenn ich nur mehr Zeit h#atte - ja dann w#urde ich sie nach Piratenmanier besuchen.
Loc3_Habor_00059	Das ist ganz leicht. Du nimmst einen Enterhaken und ein langes Seil - und dann mu#tt du nur noch ordentlich klettern.
Loc3_Habor_00062	Versuch es doch mal selber - aber Vorsicht, der Haken h#alt nicht #uberall!
Loc3_Habor_00065	Danke f#ur das Kompliment. Wir Piraten bekommen so selten Komplimente.
Loc3_Habor_00068	Wei#tt du, daf#ur schenke ich dir diesen Enterhaken. Mein Seil brauche ich aber noch.
Loc3_Habor_00071	Ich verbringe hier meinen Urlaub und besuche meine Schwester. Aber die Zeit vergeht so schnell, n#achste Woche legen wir wieder ab.
Loc3_Habor_00074	#Uberall da, wo die englische Flotte ihre Handelswege auf dem Meer hat.
Loc3_Habor_00077	Klar, das ist doch eine englische Kolonie. Aber in der Karibik bin ich lieber. Dort gibt es die seltsamsten Piraten, aber auch riesige Sch#atze - ich sage dir...
Loc3_Habor_00080	Na ja, das ist wahrscheinlich die Schw#ule in der Karibik. Eines Abends sa#ten wir am Ufer, die Flammen des Feuers loderten und ein junger Pirat
Loc3_Habor_00083	erz#ahlte uns von seinem Kampf gegen einen Geist - den Geist eines alten Kapit#ans. Wie hie#t er denn nochmal - Le..., Le... ach, ich wei#t es nicht mehr.
Loc3_Habor_00086	Was f#ur Sch#atze sollen die Sorben denn haben? Ich habe hier ein paar Sorben kennengelernt, die die Heimat verlassen haben.
Loc3_Habor_00089	F#ur diese armen Leute war schon ein Funken Hoffnung ein riesiger Schatz. Ich sah in deren verweinten Augen endlose Traurigkeit, Kummer und Schmerz.
Loc3_Habor_00092	Die Heimat hat sie ausgespuckt und sie wissen genau, da#t sie nie wieder zur#uckkehren k#pnnen.
Loc3_Hala_00002	Die T#ur ist verschlossen.
Loc3_Hala_00005	Das mu#t wohl irgendein Kurf#urst gewesen sein.
Loc3_Hala_00008	Diese T#ur ist nicht verschlossen.
Loc3_Hala_00011	Das Bild haengt zu hoch!
Loc3_Hala_00014	Dann zerkratze ich das Bild noch!
Loc3_Haska_00002	Aus dem Fa#t tropft Wein.
Loc3_Haska_00005	Wenn das jemand sieht, der betrinkt sich sofort.
Loc3_Haska_00008	Hmmm, s#u#ter Wein. Da wird mir ja morgen der Kopf brummen.
Loc3_Haska_00011	Das Fenster des Kom#pdienhauses.
Loc3_Haska_00014	Das Fenster kann ich nicht erreichen.
Loc3_Haska_00017	Jetzt komme ich in das Kom#pdienhaus.
Loc3_Haska_00020	Aha, hier h#alt der Enterhaken also.
Loc3_Haska_00023	Freiwillig gehe ich hier nicht mehr rein.
Loc3_Haska_00026	Den Koch kann ich nicht leiden!
Loc3_Haska_00029	Diese Idee gef#allt mir nicht! Nein!
Loc3_Haska_00032	Hoffentlich platzt meine Kleidung nicht, wenn ich meine Muskeln so sehr anstrengen mu#t!
Loc3_Haska_00035	Das ist roter Wein. Der geht aus den Sachen schwer wieder raus!
Loc3_Haska_00038	Zum Stollen pa#tt kein Wein!
Loc3_Jewisco_00002	Ein Buch mit dem Titel: #fDas Publikum und ich. Wie man #Angste #uberwindet. Ein Buch f#ur junge Schauspieler.#F
Loc3_Jewisco_00005	Das ist das richtige Buch f#ur Schauspieler im Kom#pdiantenhaus. Schwer genug ist es auch.
Loc3_Jewisco_00008	Hier m#pchte ich auch mal vor Leuten spielen.
Loc3_Jewisco_00011	Wenn man auf der B#uhne kr#aftigen Applaus bekommt, was f#ur ein Gef#uhl mu#t das sein?!
Loc3_Jewisco_00014	Oh mann, ist das schwer!
Loc3_Jewisco_00017	Ich habe keine Zuschauer!
Loc3_Kapala_00002	Dokumente.
Loc3_Kapala_00005	Ein Dokument.
Loc3_Kapala_00008	Ein Dokument.
Loc3_Kapala_00011	Nein, das ist nicht die Opferschale.
Loc3_Kapala_00014	Nein, das ist nicht die Opferschale.
Loc3_Kapala_00017	Nein, das ist nicht die Opferschale.
Loc3_Komedij_00002	Das ist ja ein Riesenaffe!
Loc3_Komedij_00005	Nein, ich kenne schon genug Affen.
Loc3_Komedij_00008	So ein gro#tes Beil.
Loc3_Komedij_00011	Ich brauche das Beil nicht.
Loc3_Komedij_00014	Die Kleidung eines Bediensteten. Die werde ich sicher noch brauchen.
Loc3_Komedij_00017	Eine grauenvolle Statue.
Loc3_Komedij_00020	Du hast Gl#uck, da#t Du die Statue nur von hinten siehst!
Loc3_Komedij_00023	Ein Schwert.
Loc3_Komedij_00026	Messer.
Loc3_Komedij_00029	Was soll ich mit der Statue?
Loc3_Komedij_00032	Das ist eine Requisite f#ur das Theater und nur aus Holz.
Loc3_Komedij_00035	Das sind Requisiten f#ur das Theater und nur aus Holz.
Loc3_Kuchnja_00002	Der Koch hockt hier rum und f#angt M#ause.
Loc3_Kuchnja_00005	Ein zubereitetes Schwein.
Loc3_Kuchnja_00008	So ein sch#pner Apfel f#ur das alte Schwein.
Loc3_Kuchnja_00011	Sieht noch irgendwie lebendig aus.
Loc3_Kuchnja_00014	Holz f#ur den Herd.
Loc3_Kuchnja_00017	Das Holz brennt sicherlich gut.
Loc3_Kuchnja_00020	Diese T#ur ist verschlossen.
Loc3_Kuchnja_00023	Das ist die Glocke des K#pnigs.
Loc3_Kuchnja_00026	Ich kann nur den Himmel sehen.
Loc3_Kuchnja_00029	Das Feuer ist fast erloschen.
Loc3_Kuchnja_00032	Jetzt knistert das Feuer ordentlich.
Loc3_Kuchnja_00035	Der Brei kocht ja gar nicht richtig.
Loc3_Kuchnja_00038	Jetzt kocht der Brei richtig.
Loc3_Kuchnja_00041	Ich habe bereits ein Holzst#uck.
Loc3_Kuchnja_00044	Ich bin nicht hungrig!
Loc3_Kuchnja_00047	Ich habe keinen Schl#ussel daf#ur!
Loc3_Kuchnja_00050	Lieber nicht!
Loc3_Kuchnja_00053	Dieses Fenster erreiche ich nicht!
Loc3_Kuchnja_00056	Ich bin nicht hungrig!
Loc3_Kuchnja_00059	Ich will mich nicht selbst verbrennen!
Loc3_Kuchnja_00062	Das will ich nicht verbrennen!
Loc3_Kuchnja_00065	Das Schwein braucht das nicht mehr!
Loc3_Kuchnja_00068	Dann schmeckt der Brei nicht mehr!
Loc3_Kuchnja_00071	Der Enterhaken ins Schwein? Und was dann?
Loc3_Kuchnja_00074	Mehr Holz darf ich nicht reinwerfen, sonst kocht der Brei #uber!
Loc3_Kuchnja_00077	Naja, es ist ja genug Holz da.
Loc3_Kuchnja_00080	Jetzt gibt es bestimmt #Arger. Schnell weg!
Loc3_Kuchnja_00083	Du elender T#plpel, du Anf#anger! Um alles mu#t man sich selber k#ummern!
Loc3_Kuchnja_00086	Geh mir aus dem Weg! Ich will endlich mal mit Profis arbeiten!
Loc3_Kuchnja_00115	Kennst du Handrij Zahrodnik ?
Loc3_Kuchnja_00116	Und, was wei#tt du #uber ihn ?
Loc3_Kuchnja_00117	Wir haben es doch nicht eilig.$Ist er ein Angestellter des K#pnigs ?
Loc3_Kuchnja_00118	Wieso ist Zahrodnik so angesehen ?
Loc3_Kuchnja_00119	Wo wohnt Handrij Zahrodnik ?
Loc3_Kuchnja_00120	Du wei#tt bestimmt, wo Zahrodnik wohnt ?
Loc3_Kuchnja_00121	Hast du den Schl#ussel f#ur das Schlo#t ?
Loc3_Kuchnja_00122	Jemand hat nach mir gerufen !
Loc3_Kuchnja_00123	Wozu brauche ich so etwas ? Ohne dieses Kost#um bin ich doch auch ein adretter sorbischer Bursche.
Loc3_Kuchnja_00124	Dienerkleidung ?! Ich bin doch kein Hampelmann !
Loc3_Kuchnja_00125	Kannst du mich denn mit deiner riesigen M#utze #uberhaupt verstehen ?
Loc3_Kuchnja_00126	Du beherrschst die franz#psische K#uche ?
Loc3_Kuchnja_00127	Einen Apfel zum Schwein legen - ja das stimmt - das kann wirklich nur ein Genie.
Loc3_Kuchnja_00128	L#a#tt du mich bitte vorbei?
Loc3_Kuchnja_00131	Habe mal was von ihm geh#prt.
Loc3_Kuchnja_00134	Deine Fragen bringen mich noch um den Verstand. Du bist Angestellter - also arbeite!
Loc3_Kuchnja_00137	Ja doch! Er ist beim K#pnig und seinen Untertanen sehr angesehen - das, was du nie sein wirst!
Loc3_Kuchnja_00140	Er hei#tt nicht Krabat, ist nicht faul und hat einen anst#andigen Beruf.
Loc3_Kuchnja_00143	Als Hofmechaniker bekommt er immer besondere Aufgaben vom  K#pnig.
Loc3_Kuchnja_00146	Wo wohnt er? Was ist seine Lieblingsfarbe? Was mag er f#ur Musik?
Loc3_Kuchnja_00149	Mit welchem Bein steht er zuerst auf? KRABAT - ICH HABE KEINE AHNUNG!
Loc3_Kuchnja_00152	Das geht dich gar nichts an!
Loc3_Kuchnja_00155	Aber zur#uck, du Nichtsnutz! Mach deine Arbeit!
Loc3_Kuchnja_00158	Bist du taub !? Rupfe den Hahn ab !
Loc3_Kuchnja_00161	Du sorbischer T#plpel ! Zur#uck !
Loc3_Kuchnja_00164	Mach mich nicht fertig ! Pa#t lieber auf, da#t der Brei nicht #uberkocht !
Loc3_Kuchnja_00167	Pa#t auf, da#t das Feuer nicht erlischt !
Loc3_Kuchnja_00170	Oh nein ! Was f#ur einen Faulpelz hat der Alte mir wieder in die K#uche gegeben ?
Loc3_Kuchnja_00173	So alt ist August eigentlich gar nicht, aber f#ur seine 28 Jahre hat er bereits ein sch#pnes Gewicht.
Loc3_Kuchnja_00176	Klar - doch den gebe ich nicht aus der Hand. Arbeite!
Loc3_Kuchnja_00179	Was? Ich habe keine Klingel geh#prt. Au#terdem hast du keine Dienerkleidung.
Loc3_Kuchnja_00182	Wie oft soll ich dir das noch erz#ahlen? Ohne Kost#um darf niemand ins Schlo#tinnere.
Loc3_Kuchnja_00185	Sonst schnappen dich die Wachen, du landest wieder hier und ich bekomme #Arger. Und den kann ich gar nicht gebrauchen!
Loc3_Kuchnja_00188	Hab dich nicht so ! Dienerkleidung ist Pflicht oder du fliegst - und das direkt in meinen gro#ten K#uchenl#pffel,
Loc3_Kuchnja_00191	der nat#urlich rein zuf#allig mitten in der K#uche h#angt und dich umhaut! Also arbeite!
Loc3_Kuchnja_00194	Das ist ein franz#psiches Original - du Narr! Die bekam ich von meinem Meister aus Paris.
Loc3_Kuchnja_00197	Sicher ! Dieses leckere Tier da auf dem Tisch kann nur von einem Genie - damit meine ich mich - zubereitet werden.
Loc3_Kuchnja_00200	Das ist richtig so ! W#are ich nur in Paris geblieben, da hat man mich gesch#atzt ... oh Paris,
Loc3_Kuchnja_00203	geliebtes Frankreich ... oh, Paris ...
Loc3_Kuchnjaopen_00002	Ein zubereitetes Schwein.
Loc3_Kuchnjaopen_00005	So ein sch#pner Apfel f#ur das alte Schwein.
Loc3_Kuchnjaopen_00008	Sieht noch irgendwie lebendig aus.
Loc3_Kuchnjaopen_00011	Holz f#ur den Herd.
Loc3_Kuchnjaopen_00014	Diese T#ur ist verschlossen.
Loc3_Kuchnjaopen_00017	Das ist die Glocke des K#pnigs.
Loc3_Kuchnjaopen_00020	Ich kann nur den Himmel sehen.
Loc3_Kuchnjaopen_00023	Das Feuer ist fast erloschen.
Loc3_Kuchnjaopen_00026	Jetzt knistert das Feuer ordentlich.
Loc3_Kuchnjaopen_00029	Der Brei kocht ja gar nicht richtig.
Loc3_Kuchnjaopen_00032	Jetzt kocht der Brei richtig.
Loc3_Kuchnjaopen_00035	Was will ich mit dem Holz? Das Feuer im Herd brennt eh nicht mehr.
Loc3_Kuchnjaopen_00038	Ich bin nicht hungrig!
Loc3_Kuchnjaopen_00041	Ich habe keinen Schl#ussel daf#ur!
Loc3_Kuchnjaopen_00044	Lieber nicht!
Loc3_Kuchnjaopen_00047	Dieses Fenster erreiche ich nicht!
Loc3_Kuchnjaopen_00050	Ich bin nicht hungrig!
Loc3_Kuchnjaopen_00053	Ich will mich nicht selbst verbrennen!
Loc3_Kuchnjaopen_00056	Das will ich nicht verbrennen!
Loc3_Kuchnjaopen_00059	Das Schwein braucht das nicht mehr!
Loc3_Kuchnjaopen_00062	Dann schmeckt der Brei nicht mehr!
Loc3_Kuchnjaopen_00065	Der Enterhaken ins Schwein? Und was dann?
Loc3_Kuchnjaopen_00068	Mehr Holz darf ich nicht reinwerfen, sonst kocht der Brei #uber!
Loc3_Kuchnjaopen_00071	Naja, es ist ja genug Holz da.
Loc3_Kuchnjaopen_00074	Jetzt gibt es bestimmt #Arger. Schnell weg!
Loc3_Kuchnjaopen_00077	Du elender T#plpel, du Anf#anger! Um alles mu#t man sich selber k#ummern!
Loc3_Kuchnjaopen_00080	Geh mir aus dem Weg! Ich will endlich mal mit Profis arbeiten!
Loc3_Lodz_00002	Das ist eine junge Frau.
Loc3_Lodz_00005	Dich kenne ich doch gar nicht!
Loc3_Lodz_00008	Oh, Du hast den Stollen bekommen. So komm, der Kaffee ist schon fertig. Dann kannst Du mir von Dir erz#ahlen.
Loc3_Lodz_00011	Oh, Du hast den Stollen bekommen. So komm, Du kannst mir etwas von Dir erz#ahlen.
Loc3_Lodz_00014	Eine Stunde sp#ater...
Loc3_Lodz_00017	Ich danke Dir, Krabat - f#ur den Stollen, f#ur den Besuch, f#ur die Witze... hier hast Du ein flaches St#uck Metall, wenn Du es so dringend brauchst ?
Loc3_Lodz_00020	Oh, damit hast Du mir wirklich sehr geholfen.
Loc3_Lodz_00023	Es ist jetzt Zeit, da#t ich Dir Auf Wiedersehen sage.
Loc3_Lodz_00026	Heh?! Ein Ku#t - und das f#ur mich?! Kannst Du das nochmal wiederholen?
Loc3_Lodz_00029	Nein. Das tut zu sehr weh - im Herzen. Jetzt geh!
Loc3_Lodz_00052	Was hast du denn so auf deinem Schiff ?
Loc3_Lodz_00053	Erz und Eisen ? Welch ein Zufall !$Ich brauche ein St#uck Flacheisen.
Loc3_Lodz_00054	Ist die Arbeit nicht zu schwer f#ur eine junge Frau ?
Loc3_Lodz_00055	Hunger ist ein gutes Stichwort.$Mir knurrt auch schon der Bauch.
Loc3_Lodz_00056	Stollen im Herbst ?
Loc3_Lodz_00057	Ich bin Krabat, ein Freund des K#pnigs.
Loc3_Lodz_00058	Wie hei#tt du eigentlich ?
Loc3_Lodz_00059	Du sagst wirklich #fMann#F zu mir ? F#ur die anderen$bin ich nur ein Lausejunge oder ein Faulpelz.
Loc3_Lodz_00060	Um Gottes Willen ! Der Bart kratzt schon m#achtig...
Loc3_Lodz_00061	Wieso hat ein solch h#ubsches M#adchen$keinen Freund oder Mann ?
Loc3_Lodz_00062	Oh, ich mu#t weiter, der K#pnig ruft nach mir.
Loc3_Lodz_00065	Ich bin eine tschechische Erz- und Eisenh#andlerin und fahre auf der Elbe nach Hamburg. Dort erwartet man mich in einigen Tagen.
Loc3_Lodz_00068	Das geht auf gar keinen Fall, ich mu#t ja alles in Hamburg abgeben.
Loc3_Lodz_00071	Danke f#ur das Kompliment, aber so jung bin ich nicht mehr. Klar, die Arbeit ist nicht leicht.
Loc3_Lodz_00074	Es mu#t aber sein. Da meine Eltern tot sind, mu#t ich f#ur meinen kleinen, hungrigen Bruder sorgen.
Loc3_Lodz_00077	Du hast Recht. Besorge du doch einen Stollen - den echten Dresdener - und ich koche inzwischen Kaffe.
Loc3_Lodz_00080	Klar, auf dem Markt in der Stadt gibt es bestimmt welchen. Ich komme dieses Jahr nicht wieder und ich liebe so den Stollen.
Loc3_Lodz_00083	Ein Freund des K#pnigs. So siehst du aus. Hahahaha...
Loc3_Lodz_00086	Ist doch egal. Du bist ja ein neugieriger Mann. Hast du etwa nichts zu tun?
Loc3_Lodz_00089	Du hast doch schon ein kleines B#artchen - oder ist das vielleicht nur Dreck?
Loc3_Lodz_00092	Oh nein, diese jungen M#anner.
Loc3_Lodz_00095	Krabat, dar#uber m#pchte ich nicht reden.
Loc3_Manega_00006	Grrr... la#t das liegen!
Loc3_Manega_00007	Soll ich Dich ins Hinterteil bei#ten?
Loc3_Manega_00008	Da#t ist nicht Dein Helm... arrggg...
Loc3_Manega_00015	Grrrr ...
Loc3_Manega_00016	Brrrr ...
Loc3_Manega_00017	Huaaaa ...
Loc3_Manega_00020	Ein Stahlhelm.
Loc3_Manega_00023	Ein L#pwe.
Loc3_Manega_00026	Der L#pwe schl#aft.
Loc3_Manega_00029	Zu diesem b#psen L#pwen gehe ich nicht. Der bei#tt mich noch.
Loc3_Manega_00032	Mir ist langweilig. Geh mir aus dem Weg!
Loc3_Manega_00035	Ich wecke ihn nicht auf!
Loc3_Manega_00038	Ich bin ein junger Kerl aus der Lausitz und arbeite im Moment am Hofe des K#pnigs.
Loc3_Manega_00041	Huch! Du kannst mit mir reden?
Loc3_Manega_00044	Sicher. Das habe ich gelernt.
Loc3_Manega_00047	Jahrelang kann ich mit niemandem reden und Du bist jetzt schon die zweite Person diese Woche.
Loc3_Manega_00050	Gibt es denn hier keine anderen Tiere, mit denen Du reden kannst und wer war eigentlich die andere Person?
Loc3_Manega_00053	Ach, wenn ich andere Tiere sehe, bekomme ich nur Appetit. Es dauert nicht lange, und ich habe so eine junge Antilope verspeist. Ich bin immer hungrig.
Loc3_Manega_00056	Nach einiger Zeit gew#phnt man sich daran. Ich habe auch oft genug gehungert. Wer war denn nun die andere Person?
Loc3_Manega_00059	Grrr ... das war so ein alter Opa mit einem Stock in der Hand. Er fragte mich nach einem bestimmten ... Krabat ... Ob ich ihn schon mal am Hofe des K#pnigs gesehen h#atte?
Loc3_Manega_00062	Er mu#t irgendein Diener sein. Du arbeitest doch am Hofe - kennst Du ihn?
Loc3_Manega_00065	Hmmm - ein alter Opa ... mit einem Stock? Oh je, den kenn ich doch! Was will der blo#t?
Loc3_Manega_00068	Krabat - nein, der Name sagt mir nichts.
Loc3_Manega_00071	In Ordnung. Jetzt geh aber ... Du wei#tt, mein Appetit! Au#terdem ist mir langweilig. Dann bin ich immer besonders grimmig.
Loc3_Manega_00074	Oh, welch sch#pne Musik. Bitte noch ein Lied, ja?
Loc3_Manega_00077	Wunderbar! Groschen habe ich keine. Nimm Dir doch den Helm mit und verkauf ihn!
Loc3_Manega_00080	Hrrrrrrrrrrrrr ...
Loc3_Mlynkmurja_00002	Guten Tag, Junge !
Loc3_Mlynkmurja_00005	Euch auch, Alter ! Brauchen Sie Hilfe ?
Loc3_Mlynkmurja_00008	Nein, nein, danke. Aber vielleicht brauchst Du Hilfe ?
Loc3_Mlynkmurja_00011	Ja, aber Sie k#pnnen mir bestimmt nicht helfen.
Loc3_Mlynkmurja_00014	Warum nicht? Nur, weil ich alt bin?
Loc3_Mlynkmurja_00017	Ich mu#t jetzt weiter, Auf Wiedersehen.
Loc3_Mlynkmurja_00020	Beeile Dich, Krabat ! Du hast noch einen langen Weg vor Dir. Und am Ende des Weges stehe ich, Dein ehrlicher Feind.
Loc3_Mlynkmurja_00023	Hahaha!
Loc3_Murja_00002	Vielen Dank! Jetzt darf ich mich wieder richten lassen!
Loc3_Murja_00005	Wenn mich die Wachen in der Stadt in Dienstkleidung erwischen, bekomme ich nur #Arger - ich ziehe mich besser um.
Loc3_Poklad_00002	Am n#achsten Morgen
Loc3_Poklad_00005	Herr Juwelier, zeigen Sie mir bitte die Erlaubnis.
Loc3_Poklad_00008	Bitte sehr. Hier ist sie.
Loc3_Poklad_00011	Unterschrieben und gesiegelt. In Ordnung, Sie d#urfen in die Kammer.
Loc3_Poklad_00014	Wo finde ich in dieser verdammt gro#ten Schatzkammer blo#t die Sch#ussel? Vielleicht ist sie dort in der Ecke.
Loc3_Poklad_00017	Hmm, was hier alles drin ist: Elfenbein, Truhen voller Gold,
Loc3_Poklad_00020	und da auf dem Regal ist unsere sorbische Sch#ussel.
Loc3_Poklad_00023	Da wird sich Krabat freuen ! Schnell tausche ich sie aus, damit es niemand merkt.
Loc3_Poklad_00026	Alles in Ordnung, Herr Dinglinger?
Loc3_Poklad_00029	Sicher. Sehr gut aufger#aumt, Eure Schatzkammer. Da findet man alles sofort.
Loc3_Saal_00002	Diese Gem#alde zeigen s#achsische St#adte.
Loc3_Saal_00005	Diese Gem#alde zeigen s#achsische St#adte.
Loc3_Saal_00008	Ein riesiger Saal! Der ist mindestens 60 Meter lang.
Loc3_Saal_00011	Hallo! Siehst du mich noch?
Loc3_Saal_00014	Ich kann doch nicht die ganze Wand mitnehmen!
Loc3_Saal_00017	Ich kann doch nicht die ganze Wand mitnehmen!
Loc3_Spaniska_00002	Ob die auch mal den Mund halten kann?
Loc3_Spaniska_00005	Das Fenster mit dem Enterhaken.
Loc3_Spaniska_00008	Ein riesiger Spiegel!
Loc3_Spaniska_00011	Ich sehe gar nicht mal so schlecht aus.
Loc3_Spaniska_00014	Sch#pne Blumen.
Loc3_Spaniska_00017	Dahinter k#pnnte ich mich gut verstecken.
Loc3_Spaniska_00020	Das sind 5 Taler.
Loc3_Spaniska_00023	Irgendein Dokument mit liederlicher Handschrift.
Loc3_Spaniska_00026	Jetzt juckt es mir in der Nase.
Loc3_Spaniska_00029	Das brauche ich nicht!
Loc3_Spaniska_00032	Ich habe keine Zeit f#ur solche Albernheiten!
Loc3_Spaniska_00035	Den brauche ich noch, um das Zimmer zu verlassen!
Loc3_Spaniska_00038	Damit mache ich die sch#pnen Blumen kaputt!
Loc3_Spaniska_00041	Den Spiegel zerschlage ich nicht! Dann habe ich ewig Pech!
Loc3_Spaniska_00044	So eine Furie! Ob alle K#unstler einen solchen Knall haben?
Loc3_Spaniska_00047	Mann, wenn sie nur ein wenig leiser w#are.
Loc3_Spaniska_00050	Einen solchen Drachen #uberlebt niemand!
Loc3_Spaniska_00053	G A M E   O V E R !
Loc3_Spaniska_00056	Verzeihung, das war ein Fehler in der Technik.
Loc3_Spaniska_00059	Eine Stunde sp#ater...
Loc3_Spaniska_00062	Mann - brummt mir der Sch#adel. Die Zicke hat die Kraft eines L#pwen, die Stimme eines Kakadu und geh#prt de#thalb in den Zoo und nicht auf die B#uhne !
Loc3_Spaniska_00065	Aaa!
Loc3_Spaniska_00068	Hillfffeeeee!!!
Loc3_Spaniska_00071	Ich bin nur eine arme Schauspielerin -$aber nehmt euch doch das Geld auf dem Tisch!
Loc3_Spaniska_00074	La#tt mich in Ruhe!
Loc3_StareWiki_00002	Er hat einen dicken Bauch.
Loc3_StareWiki_00005	Der kann vielleicht rumbr#ullen!
Loc3_StareWiki_00008	Er verkauft irgendwas.
Loc3_StareWiki_00011	Bitte sehr, Dein Stollen. La#t ihn Dir schmecken!
Loc3_StareWiki_00014	Dankesch#pn!
Loc3_StareWiki_00031	Ich bin Krabat und arbeite in der k#pniglichen K#uche.
Loc3_StareWiki_00032	Eigentlich stelle ich immer die Fragen.
Loc3_StareWiki_00033	#Uber den Hauptw#achter wei#t ich nur das, was die Leute so erz#ahlen.
Loc3_StareWiki_00034	Ja, den Hauptw#achter kenne ich schon.
Loc3_StareWiki_00035	Nein, aber kennen Sie den #fsorbischen Archimedes#F ?
Loc3_StareWiki_00036	Gut, erz#ahlen Sie mir, was Sie so #uber den s#achsischen Archimedes wissen.
Loc3_StareWiki_00037	Dresden als kultureller Mittelpunkt von Europa ? Wieso das denn ?
Loc3_StareWiki_00038	Entschuldigung, ich m#pchte nichts kaufen.
Loc3_StareWiki_00041	Was willst du denn ? Du siehst nicht so aus, als ob du dir hier etwas leisten k#pnntest !
Loc3_StareWiki_00044	Was, im Schlo#t ? Kennst du den Hauptw#achter ?
Loc3_StareWiki_00047	Du Spinner!
Loc3_StareWiki_00050	Wenn du mal solch einen besoffenen Esel siehst, erinnere ihn bitte daran, da#t er noch die Kutsche f#ur seine Wache bezahlen mu#t.
Loc3_StareWiki_00053	Und er soll nicht schon wieder diese Wache schicken, die nur #fStop ! Halt ! Keinen Zutritt !#F sagen kann.
Loc3_StareWiki_00056	Mit dem handelt es sich nicht besonders gut. Der arme Kerl stand bestimmt zulange im Zugwind !
Loc3_StareWiki_00059	Du meinst den #fs#achsischen Archimedes#F ?
Loc3_StareWiki_00062	Wei#tt du, Zahrodnik, wie er richtig hei#tt, Dinglinger, P#pppelmann und Permoser - das sind die Genies unserer Zeit.
Loc3_StareWiki_00065	Die haben Visionen - ich sage dir, in 20 oder vielleicht 50 Jahren wird diese Stadt v#pllig anders aussehen ! Sie wird zum kulturellen Mittelpunkt Europas.
Loc3_StareWiki_00068	Und ich, oder mein Sohn, wir werden soviel Kutschen verkaufen, wie... hmmm, wie ..., der Hampel da dr#uben Stollen.
Loc3_StareWiki_00071	Sieh mal, letztes Jahr wurde unser August zum K#pnig Polens gemacht. So ist eines der m#achtigsten K#pnisgh#auser Europas entstanden.
Loc3_StareWiki_00074	Und so wie ich August kenne, und ich kenne ihn gut, wird er seine Macht auch zur Schau stellen wollen. Sieh dir doch mal die Residenzen in Europa an -
Loc3_StareWiki_00077	Paris, London, Madrid - und dann unser mickriges Dresdner Schl#p#tchen. Glaub mir, ich kenne August, hier wird noch viel passieren.
Loc3_StareWiki_00080	Wie bitte? Mickriges Schl#p#tchen? Den mu#t ich mal in unsere Residenz in Eutrich einladen.
Loc3_StareWiki_00083	Jeder einzelne Teller im Schlo#t ist wertvoller als unser ganzes Haus. Diese St#adter wieder mal!
Loc3_StareWiki_00096	Ich bin Krabat und wer bist du ?
Loc3_StareWiki_00097	Als armer Lausitzer kenne ich keinen Stollen.$Erz#ahl mir doch mehr dar#uber.
Loc3_StareWiki_00098	Was ist das Besondere am Dresdner Stollen ?
Loc3_StareWiki_00099	Wie war das noch mal mit dem Stollen, Michael ?
Loc3_StareWiki_00100	Ich w#urde gerne einen Stollen kaufen.
Loc3_StareWiki_00101	Ich m#pchte nichts kaufen. Auf Wiedersehen.
Loc3_StareWiki_00104	Mein Name ist Michael. Ich verkaufe hier Stollen.
Loc3_StareWiki_00107	Also gut. Die Form des Stollens ist ein Symbol und soll an das Heilige Kind erinnern.
Loc3_StareWiki_00110	Die ersten Stollen wurden etwa im Jahre 1330 in Naumburg gebacken, am Anfang des 15. Jahrhunderts kannte man auch in Dresden diesen Leckerbissen.
Loc3_StareWiki_00113	Der Papst erlaubte im Jahre 1491 die Stollen mit Butter statt mit #Pl zu backen. Das ist zwar wegen der Adventsfast verboten, aber in Sachsen gibt es keine #Plba#ume.
Loc3_StareWiki_00116	Daf#ur m#ussen wir aber zus#atzliche Abgaben entrichten, zum Beispiel f#ur den Bau der Kreuzkirche. Daf#ur schmeckt unser Stollen aber besser als alle anderen.
Loc3_StareWiki_00119	Gern, aber die Leute kaufen heute wie verr#uckt. Ich habe nur noch einen Rosinenstollen. Der kostet 5 Taler, billiger geht es leider nicht.
Loc3_StareWiki_00122	Augenblick, ich mu#t mal nachsehen.
Loc3_StareWiki_00145	Bekomme ich auch ein paar S#u#tigkeiten ?
Loc3_StareWiki_00146	Ich bin doch noch ein kleines Kind. Gebt mir doch bitte was S#u#tes !
Loc3_StareWiki_00147	Die sind in Eutrich. Ich bin alleine in Dresden.
