Casnik_1|Won how stra#zujo.
Inventar_64|N#e, to njok zapali#y!
Inventar_65|Wona w#ecej g#lodna njejo.
Inventar_66|DS J#onu to dosaha.
Inventar_67|Jaden raz to dosega.
Inventar_68|Jaden raz to dosega.
Inventar_69|Hej, to jo dr#ecowanje zw#erjetow!
Inventar_70|Do gjarny#ska m#e to njep#yi#do!
Inventar_71|Jano tak? N#e!
Inventar_72|N#eco hy#s#ci felujo!
Inventar_73|Jano tak? N#e!
Inventar_74|To njamogu do lista zatka#y!
Inventar_75|Kak to wugl#edajo? List z t#lustym brjuchom.
Inventar_76|Se w#e. Potom kro#syki w#ecej njenamakajom.
Inventar_77|To lubjej Dinglingeroju p#yewostajim.
Inventar_78|Jano tak? N#e!
Inventar_79|How nic.
Inventar_80|N#e, to njok zapali#y!
Inventar_81|To njej#do.
Inventar_82|To se njego#di.
Inventar_83|Tak nic.
Inventar_84|To njamogu cyni#y.
Jama1_1|W#su#di l#ezu wu#ze#nce. Se w#e, a#z su slinojte!
Jama1_2|P#yecej dejm ja je p#yima#y!
Jama1_3|Hej golack! Co ty how pyta#s?
Jama1_4|Jo, co how jano pytam? To razka p#sawje njew#em.
Jama1_5|Ga#z to w#e#s, potom m#e zawo#laj.
Jama1_6|N#e, n#e - tak to njejsom m#eni#l. Pomagaj#yo m#e p#sosym.
Jama1_7|P#yiducy raz ale se l#epjej wogl#edni!
Jewisco_1|Zajmne te knig#ly z titlom: #fPublikum a ja. Kak p#yewinjom t#sachy. Knig#ly za m#lodych #diwa#delnikow.#F
Jewisco_2|To su te p#sawe knig#ly za #diwa#delnikow w komedijowem domje. Pom#ernje #y#e#zke woni teke su.
Jewisco_3|How cu teke raz za lu#di gra#y.
Jewisco_4|Ga#z dostanjo#s na tom jawi#s#cu mocny aplaws - kake jo to zacu#ye?!
Jewisco_5|Ow, te knig#ly su ale #y#e#zke!
Jewisco_6|Ja p#yigl#edowarjow njamam!
Jezba_1|Tak jo le#ye#l kralojski woz do srjej#di#s#ca sakskeje mocy, do Drje#zd#dan.
Jezba_2|Po casu njejo se Awgust w#ecej za serbskego golca zajmowa#l a jo jogo do kralojskeje kuchnje zatka#l. Krabat pak njejo na s#lowa wodnego mu#za a Kulojskego fararja zaby#l.
Jitk1_1|Hm, te #durja su r#ednjej#se ako na#se ...
Jitk1_2|To jo susedojc wozyk.
Jitk1_3|Wjelgin praktiski, ale won bu#do m#e jano na zadorje.
Jitk1_4|How nichten doma njejo.
Jitk2_1|Hm, te #durja su r#ednjej#se ako na#se ...
Jitk2_2|To jo susedojc wozyk.
Jitk2_3|Wjelgin praktiski, ale won bu#do m#e jano na zadorje.
Jitk2_4|How nichten doma njejo.
Kapala_1|Dokumenty.
Kapala_2|Dokument.
Kapala_3|Dokument.
Kapala_4|N#e, to woporna #skla njejo.
Kapala_5|N#e, to woporna #skla njejo.
Kapala_6|N#e, to woporna #skla njejo.
Karta_1|Kulow
Karta_2|Nje#dichow
Karta_3|#Sunow
Karta_4|Ralbicy
Karta_5|Jitk
Karta_6|Zd#dary
Karta_7|Cho#lmc
Komedij_1|Taka wjelika na#lpa!
Komedij_2|Na#lpow znajom dos#c.
Komedij_3|Taka wjelika sekera.
Komedij_4|Sekeru njetrjebam.
Komedij_5|Drastwa s#lu#zabnika. Tu zaw#es#ce hy#s#ci trjebam.
Komedij_6|Grozna figura.
Komedij_7|Ma#s gluku, a#z ju jano wot sl#edka wi#di#s!
Komedij_8|Mjac.
Komedij_9|Mjacyki.
Komedij_10|Co z postawu cu?
Komedij_11|To jo rekwizita za #diwad#lo a jano z drjewa.
Komedij_12|To su rekwizity a jano z drjewa.
Konc_1|       Nap#sawdu?
Konc_2| Jo
Konc_3|  N#e
Kuchnja_1|Kucha#x how kl#ecy a my#sy #loj.
Kuchnja_2|To jo p#yigotowana swinja.
Kuchnja_3|R#edne jab#luko ma w gubje.
Kuchnja_4|Wugl#edajo ako #zywa!
Kuchnja_5|Drjewo za topjenje.
Kuchnja_6|Drjewo se zaw#es#ce derje pali.
Kuchnja_7|#Durja su zamknjone.
Kuchnja_8|To jo klinkack krala.
Kuchnja_9|Wi#dim jano njebjo.
Kuchnja_10|P#lomjenja se ned gasnu.
Kuchnja_11|N#ent p#sawje kniskoco.
Kuchnja_12|Mucka se sce#lego por#ednje njewari!
Kuchnja_13|N#ent se mucka por#ednje wari.
Kuchnja_14|Teliko drjewa naraz njetrjebam.
Kuchnja_15|Njejsom g#lodny.
Kuchnja_16|Njamam kluc!
Kuchnja_17|Lubjej nic!
Kuchnja_18|To wokno njedosegnjom.
Kuchnja_19|Njejsom g#lodny.
Kuchnja_20|Njok se spali#y!
Kuchnja_21|To njok zapali#y!
Kuchnja_22|Swinja to w#ecej njetrjeba!
Kuchnja_23|Potom mucka w#ecej njes#lo#di.
Kuchnja_24|Kokula w swini? A co potom?
Kuchnja_25|W#ecej drjewa njesm#ejom p#yicyni#y. Howac se sl#ewcyna mucka p#yismali!
Kuchnja_26|No jo, drjewa ga jo dos#c!
Kuchnja_27|N#ento zaw#erno grozy t#sach. Malsnje p#sec!
Kuchnja_28|Ty njeknicomnik, zachopje#nka#x, amater. Wo w#sykno dejm se sam stara#y!
Kuchnja_29|#Di m#e z boka! Ja cu z profijami #d#e#la#y!
Kuchnja_30|Som wo njom s#ly#sa#l.
Kuchnja_31|Twoje #za#losne p#sa#sanja - twojo #za#losne blandrjenje! Sy s#lu#zabnik - to#y #d#e#laj!
Kuchnja_32|Jo w#sak! Won jo na kralojskem dworje wjelgin nagl#edny lu#d a s#lu#zabnym nap#ye#yiwo p#yecej p#yistojny - co#z ty z#ednje njebu#do#s!
Kuchnja_33|Jomu se njegroni Krabat, njejo gni#ly a jo n#eco por#ednego nawuknu#l.
Kuchnja_34|Zagrodnik jo dworski mechanika#x Awgusta Mocnego, a kral ma p#yecej n#ekake wosebne nadawki za njogo.
Kuchnja_35|#Do won bydli? Co jo jogo nejlub#sa barwa? Kotaru muziku rad s#ly#sy?
Kuchnja_36|Z kotareju nogu zajt#sa z postole stanjo? KRABAT - JA NJEW#EM!
Kuchnja_37|To #yi nic njestara!
Kuchnja_38|Tak stary ga Awgust sce#lego njejo, ale za swoje 28 l#et ga jo ju#zo pom#ernje #y#e#zki kjarl.
Kuchnja_39|Jo, ale ty jen njedostanjo#s. #D#e#laj!
Kuchnja_40|Co? Ja klinkack s#ly#sa#l njejsom. Mimo togo njama#s s#lu#zbnu drastwu.
Kuchnja_41|Kak cesto mam #yi to hy#s#ci prjatkowa#y? B#dez togo kostima w gro#de nic pyta#y njama#s.
Kuchnja_42|Howac #si stra#za grapsnjo, na ko#ncu zasej w kuchni sej#di#s a ja dostanu na#s#cokane. A w#e#s, a#z ju#zo wot dawna wo #s#cokanje njero#dim.
Kuchnja_43|P#yesta#n diskut#erowa#y. S#lu#zbna drastwa jo winowatos#c. Howac zle#yi#s - a to rowno wen do mojeje wjelikeje kucharskeje #l#zyce,
Kuchnja_44|kotara#z bu#do potom - se w#e, ce#lo p#yipadnje - how srjej#d kuchnje wisa#y a #yi deri#y! To#y #d#e#laj!
Kuchnja_45|To jo francojski original - wusra#nc! Ten som wot swojogo mejstarja z Pariza dosta#l.
Kuchnja_46|Se w#e! To r#edne zw#erje tam na bli#de jano #zenij p#yigotowa#y wum#ejo - z tym som ja m#enjony.
Kuchnja_47|Cele p#sawje! By deja#l w Parizu wosta#y. Tam su se m#e ces#cili. Ach, Pariz!
Kuchnja_48|M#e se tak za tobu styska. Lubowana Francojska ... ach, Pariz ...
Kuchnja_49|Znajo#s Handrija Zagrodnika?
Kuchnja_50|A dalej? Co sy s#ly#sa#l wo Zagrodniku?
Kuchnja_51|Mamy ga hy#s#ci go#dinku. Jo won p#yistajony krala?
Kuchnja_52|Cogodla jo Zagrodnik tak nagl#edny?
Kuchnja_53|A #do Handrij Zagrodnik bydli?
Kuchnja_54|W#es#ce to w#es#co! #Do Zagrodnik bydli?
Kuchnja_55|Ma#yo kluc do groda?
Kuchnja_56|M#e jo rowno n#echten wo#la#l!
Kuchnja_57|Za co take n#eco trjebam? Som teke b#dez togo kostima nagl#edny serbski kjarl.
Kuchnja_58|S#lu#zbnu drastwu? To wugl#edajom ka#z py#sny #di#yelc!
Kuchnja_59|Ze swojeju wjelikeju kucharskeju #sapku m#e sce#lego njerozm#ejo#s!
Kuchnja_60|Wy wobkn#e#zy#yo francojsku kuchnju?
Kuchnja_61|Jab#luko swini do guby zatka#y - jo, to dowi#dim, to mo#zo jano #zenij.
Kuchnja_62|Mogu p#sosym mimo?
Kuchnja_63|Hej - ty njeknicomnik! Nasl#edk! Cy#n swojo #d#e#lo!
Kuchnja_64|Njes#ly#sy#s? Wobskubaj kokota!
Kuchnja_65|Ty s#lowa#nska g#lowka! Sl#edk!
Kuchnja_66|Njestupaj m#e na nerwy! Gl#edaj, a#z se sl#ewcyna mucka njep#yismalijo!
Kuchnja_67|Gl#edaj na woge#n, a#z se njegasnjo!
Kuchnja_68|N#e, n#e. Kakego gni#lego njeknicomnika jo m#e jano ten stary do kuchnje da#l.
Kuchnjaopen_1|To jo p#yigotowana swinja.
Kuchnjaopen_2|R#edne jab#luko ma w gubje.
Kuchnjaopen_3|Wugl#edajo ako #zywa!
Kuchnjaopen_4|Drjewo za topjenje.
Kuchnjaopen_5|#Durja su zamknjone.
Kuchnjaopen_6|To jo klinkack krala.
Kuchnjaopen_7|Wi#dim jano njebjo.
Kuchnjaopen_8|P#lomjenja se ned gasnu.
Kuchnjaopen_9|N#ent p#sawje knykoca.
Kuchnjaopen_10|Mucka se sce#lego por#ednje njewari!
Kuchnjaopen_11|N#ent se mucka por#ednje wari.
Kuchnjaopen_12|Co z drjewom cu? Woge#n w kamjenach se w#ecej njepali.
Kuchnjaopen_13|Njejsom g#lodny.
Kuchnjaopen_14|Njamam kluc!
Kuchnjaopen_15|Lubjej nic!
Kuchnjaopen_16|To wokno njedosegnjom.
Kuchnjaopen_17|Njejsom g#lodny.
Kuchnjaopen_18|Njok se spali#y!
Kuchnjaopen_19|To njok zapali#y!
Kuchnjaopen_20|Swinja to w#ecej njetrjeba!
Kuchnjaopen_21|Potom mucka w#ecej njes#lo#di.
Kuchnjaopen_22|Kokula w swini? A co potom?
Kuchnjaopen_23|W#ecej drjewa njesm#ejom p#yicyni#y. Howac se sl#ewcyna mucka p#sismali!
Kuchnjaopen_24|No jo, drjewa ga jo dos#c!
Kuchnjaopen_25|N#ento zaw#erno grozy t#sach. Malsnje p#sec!
Kuchnjaopen_26|Ty njeknicomnik, zachopje#nka#x, amater. Wo w#sykno dejm se sam stara#y!
Kuchnjaopen_27|#Di m#e z boka! Ja cu z profijami #d#e#la#y!
Kulow1_1|Wikowa#x ma jano jadnu ruku.
Kulow1_2|Won p#yedawa ryby.
Kulow1_3|Drjewjana ryba - za wabjenje.
Kulow1_4|#Durja do doma.
Kulow1_5|Te #durja su wocynjone.
Kulow1_6|Seno.
Kulow1_7|W sudobju jo woda.
Kulow1_8|Co to dej? Ruce p#sec!
Kulow1_9|Su zamknjone. Njamam kluc.
Kulow1_10|Ty how nic pyta#y njama#s!
Kulow1_11|Wostaj #durja wocynjone! Trjebam fry#sny pow#et#s.
Kulow1_12|Rowno#z su #durja wocynjone, to njegroni, a#z sm#ejo#s zastupi#y. Zasej taki burski golc.
Kulow1_13|To n#ent njetrjebam!
Kulow1_14|Njejsom #lacny.
Kulow1_15|Sudobje jo p#ye#y#e#zke.
Kulow1_16|To pak njejo fry#sna ryba!
Kulow1_17|Dostanjo#s jaden zylber - w#ecej nic!
Kulow1_18|Za co by jogo deja#l wot#strofowa#y?
Kulow1_19|Za co by jogo deja#l wot#strofowa#y?
Kulow1_20|Njok, a#z se rozgori!
Kulow1_21|Njok, a#z se rozgori!
Kulow1_22|To njok zapali#y!
Kulow1_23|Potom se skoro ce#la wjas pali!
Kulow1_24|Ta ryba how nic pyta#y njama.
Kulow1_25|Muku, #zyto, jag#ly - w#sykno, co#z jo za #zywjenje tr#ebne.
Kulow1_26|Ja muku teke jano pla drugego wikowarja nakupuju. #Zyto pochada z P#suskeje.
Kulow1_27|Som stary wojak. Domownju mjamam a to#y se w#su#di doma cuju, #do#z swoj k#lobyk powjesyjom.
Kulow1_28|Ach golack, co m#eni#s, co taki wojak cyni. M#er wobchowa#y?
Kulow1_29|Moja sl#edna bitwa jo 1683 by#la. Som tencas wojak pod kurwjerchom Janom Jurjom III. by#l.
Kulow1_30|Turki su p#yed Wienom stojali - to jo w Awstriskej - a my smy w zw#ezkarstwje z wojskom polskego krala Jana Sobieskego wojowali.
Kulow1_31|Paleca to bitwa - ale smy dobyli. Na tu bitwu dopominatej moja felujuca ruka
Kulow1_32|a tak pomjenjona #fTurkojska studnja#F p#yed grodom w Drje#zd#danach.
Kulow1_33|Se w#e! Ja mam jano fry#sne ryby. Co ma to groni#y?
Kulow1_34|To m#e tola fry#sne p#yedaj. L#etosa jich teliko njejo.
Kulow1_35|Ach, to w#eri#s? Woni k#y#e jano w#ecej kro#sykow za swoje spjerchlinate zw#erjeta.
Kulow1_36|Togodla pow#edaju lu#dam, a teke m#e, take baje. Ale ga#z ma#s rybu na p#yeda#n - ja #yi ju rad wotkupijom.
Kulow1_37|Kus #zrawika - hm? Wokognu#ye, to dejm malsnje pogl#ednu#y.
Kulow1_38|Wokognu#ye, pogl#ednjom.
Kulow1_39|Co ma#yo na p#yeda#n?
Kulow1_40|Muku? #Do dajo#yo zernka mla#y?
Kulow1_41|Wotkul p#yi#do#yo?
Kulow1_42|To s#co ako wojak zaw#es#ce wjele groznego wi#deli?
Kulow1_43|W kotarem kraju ga s#co wojowali?
Kulow1_44|Ach nic - som se moli#l.
Kulow1_45|#D#ekuju se. Ja se hy#s#ci druge budki wobgl#edajom.
Kulow1_46|Puh, su to nap#sawdu fry#sne ryby?
Kulow1_47|Tu smjer#di za starymi rybami.
Kulow1_48|Wu#darje p#yi Jitkojskem ga#ye su m#enili, a#z l#etosa wjele rybow njejo.
Kulow1_49|Trjebam kus #zrawika. - Ale p#sosym filet#erowany kus.
Kulow1_50|Pytam p#yecej hy#s#ci kus #zrawika.
Kulow1_51|Ach, nic - som se moli#l.
Kulow1_52|#D#ekuju se. Ja se hy#s#ci druge budki wobgl#edam.
Kulow1_53|Hej, #zrawikow tola we #Lu#zycy #zednych njedawa!
Kulow1_54|Co ja how jano cynim, som ga #yi groni#l, a#z how #zrawiki njejsu!
Kulow1_55|Hmmm - #s#cipje#ly mam...
Kulow1_56|karpy mam...
Kulow1_57|Octopus - ty stare swinje!$Njedej#s tintu do korbika wula#y!
Kulow1_58|Hmmm, karpy nap#sawdu ju#zo t#sochu smjer#de.
Kulow1_59|DS -bud#de#s ty -
Kulow1_60|DS w#sud#de tintowe blaki, wr#o#co do korba...
Kulow1_61|DS hmmm, wjelrybu mam...
Kulow2_1|Wikowa#x ma jano jadnu ruku.
Kulow2_2|Won p#yedawa ryby.
Kulow2_3|#Durja do doma.
Kulow2_4|Te #durja su wocynjone.
Kulow2_5|Seno.
Kulow2_6|W sudobju jo woda.
Kulow2_7|Su zamknjone. Njamam kluc.
Kulow2_8|Ty how nic pyta#y njama#s!
Kulow2_9|Wostaj #durja wocynjone! Trjebam fry#sny pow#et#s.
Kulow2_10|Rowno#z su #durja wocynjone, to njegroni, a#z sm#ejo#s zastupi#y. Zasej taki burski golc.
Kulow2_11|To n#ent njetrjebam!
Kulow2_12|Njejsom #lacny.
Kulow2_13|Sudobje jo p#ye#y#e#zke.
Kulow2_14|Za co by jogo deja#l wot#strofowa#y?
Kulow2_15|Za co by jogo deja#l wot#strofowa#y?
Kulow2_16|Njok, a#z se rozgori!
Kulow2_17|Njok, a#z se rozgori!
Kulow2_18|To njok zapali#y!
Kulow2_19|Potom se skoro ce#la wjas pali!
Kulow2_20|Ta ryba how nic pyta#y njama.
Kulow2_21|Muku, #zyto, jag#ly - w#sykno, co#z jo za #zywjenje tr#ebne.
Kulow2_22|Ja muku teke jano pla drugego wikowarja nakupuju. #Zyto pochada z P#suskeje.
Kulow2_23|Som stary wojak. Domownju mjamam a to#y se w#su#di doma cuju, #do#z swoj k#lobyk powjesyjom.
Kulow2_24|Ach golack, co m#eni#s, co taki wojak cyni. M#er wobchowa#y?
Kulow2_25|Moja sl#edna bitwa jo 1683 by#la. Som tencas wojak pod kurwjerchom Janom Jurjom III. by#l.
Kulow2_26|Turki su p#yed Wienom stojali - to jo w Awstriskej - a my smy w zw#ezkarstwje z wojskom polskego krala Jana Sobieskego wojowali.
Kulow2_27|Paleca to bitwa - ale smy dobyli. Na tu bitwu dopominatej moja felujuca ruka
Kulow2_28|a tak pomjenjona #fTurkojska studnja#F p#yed grodom w Drje#zd#danach.
Kulow2_29|Se w#e! Ja mam jano fry#sne ryby. Co ma to groni#y?
Kulow2_30|To m#e tola fry#sne p#yedaj. L#etosa jich teliko njejo.
Kulow2_31|Ach, to w#eri#s? Woni k#y#e jano w#ecej kro#sykow za swoje spjerchlinate zw#erjeta.
Kulow2_32|Togodla pow#edaju lu#dam, a teke m#e, take baje. Ale ga#z ma#s rybu na p#yeda#n - ja #yi ju rad wotkupijom.
Kulow2_33|Co ma#yo na p#yeda#n?
Kulow2_34|Muku? #Do dajo#yo zernka mla#y?
Kulow2_35|Wotkul p#yi#do#yo?
Kulow2_36|To s#co ako wojak zaw#es#ce wjele groznego wi#deli?
Kulow2_37|W kotarem kraju ga s#co wojowali?
Kulow2_38|Ach nic - som se moli#l.
Kulow2_39|#D#ekuju se. Ja se hy#s#ci druge budki wobgl#edajom.
Kulow2_40|Puh, su to nap#sawdu fry#sne ryby?
Kulow2_41|Tu smjer#di za starymi rybami.
Kulow2_42|Wu#darje p#yi Jitkojskem ga#ye su m#enili, a#z l#etosa wjele rybow njejo.
Kulow2_43|Ach, nic - som se moli#l.
Kulow2_44|#D#ekuju se. Ja se hy#s#ci druge budki wobgl#edam.
Kupa1_1|Rogo#z, ken#z p#yi kupje ros#co.
Kupa1_2|Njamogu dalej. How felujo delka.
Kupa1_3|N#e, njeskocym! To mo#zo#s cyni#y, co#z co#s. Ga#z do wody padnjom, se jano smjejo#yo ...
Kupa1_4|Ty, graje#x, ma#s twoju g#lowu a ja mam swoju. How njepoj#dom!
Lodz_1|To jo m#loda #ze#nska.
Lodz_2|Tebje njeznajom.
Lodz_3|Ow, sy ko#lac dosta#l. Tak poj#d, kafej jo ju#zo gotowy. Potom mo#zo#s m#e wo sebje wulicowa#y.
Lodz_4|Ow, sy ko#lac dosta#l. Tak poj#d, mo#zo#s m#e wo sebje wulicowa#y.
Lodz_5|Go#dinu pozd#dej ...
Lodz_6|Ja se #yi #d#ekuju, Krabat: za ko#lac, za wogl#ed, za sm#e#sne wulicowa#nka. How ma#s kus p#lonego zeleza, ga#z jen tak nuznje trjeba#s.
Lodz_7|Ow, z tym sy m#e nap#sawdu wjelgin pomaga#la.
Lodz_8|Jo n#ento cas, a#z #yi na zasejwi#denje gronim.
Lodz_9|Hej! Po#sack - a to za mnjo? Mo#zo#s to wospjetowa#y? Take n#eco s#lodke hy#s#ci #zednje wopta#l njejsom.
Lodz_10|N#e. To p#yewjelgin boli - we wut#sobje. N#ento #di!
Lodz_11|Wikuju ze zelezom a rudu. P#yidu z #Keskeje a som po #Lobju po droze do Hamburga. Tam ze mnu za n#ekotare dny rachnuju.
Lodz_12|Na #zeden pad. Musym w#sykno w Hamburgu woteda#y a pla wikowanja razka to carne pod nok#yom njezabydnu.
Lodz_13|#D#ekuju se za kompliment, ale taka m#loda teke w#ecej njejsom. Se w#e, a#z jo to #y#e#zke #d#e#lo.
Lodz_14|Co pak dejm? Njamam nana a mamu, a moj brat#yik trjeba n#eco k j#e#di.
Lodz_15|To ma#s p#sawje. Nara#dim, a#z wobstara#s ko#lac - ale ten p#sawy Drje#zd#da#nski - a ja mjaztym kafej zwarim.
Lodz_16|Se w#e. Som l#etosa sl#edny raz how a Drje#zd#da#nski ko#lac lubuju. Na wikach w m#es#ce jen zaw#es#ce dostanjo#s. Ja dejm na #lo#di wosta#s.
Lodz_17|P#yija#yel krala?! Taki m#e wugl#eda#s. Hahahaha ...
Lodz_18|To njejo wa#zne. Sy narski muski! Njama#s #zedno #d#e#lo?
Lodz_19|Kusk me#ska ga ju#zo ma#s pod nosom - abo njejsy se por#ednje my#l?
Lodz_20|Jo, jo! Te m#lode muske.
Lodz_21|Wo tom njok pow#eda#y - p#sosym Krabat.
Lodz_22|Co na wa#sej #lo#di r#ednego ma#yo?
Lodz_23|Ruda a zelezo? To jo p#yipad! Trjebam p#lony kus zeleza.
Lodz_24|Njejo to #y#e#zke #d#e#lo za m#lode #dow#co?
Lodz_25|K j#e#di? To jo dobre grono. M#e teke n#ekak magan knora.
Lodz_26|Nazymu ju#zo ko#lac?
Lodz_27|Gronje m#e Krabat, som p#yija#yel krala.
Lodz_28|Kak #yi pop#sawem gronje?
Lodz_29|Sy ku mjno nap#sawdu #fmuski#F groni#la? Za drugich som m#lody golc, golack abo jano gnilej.
Lodz_30|Bogalka! Ta broda ju#zo bejnje drapa. To jo wjelgin wob#y#e#zna w#ec.
Lodz_31|Cogodla njama take p#ekne #dow#co muskego abo p#yija#yela?
Lodz_32|Som se moli#l. Dejm dalej. Kral m#e wo#la.
Mainlaby_1|Ten bogi kjarl ga se pali!
Mainlaby_2|Ow, zylber! Za to poka#zom #yi drogu do lichoty.
Mainlaby_3|M#lynik, m#lynik - Krabat #yi wo#la - n#ent s#ly#nco se za #yamnym l#esom chowa.
Mainlaby_4|Won ga se ju#zo pali!
Mainlaby_5|Se w#e, a#z se palim. My smy b#ludnicki, a ja som jich wjednik.
Mainlaby_6|R#edny sm#e#sk. W #yop#lem l#e#yu jo to potom t#sochu hynac. Co how pyta#s?
Mainlaby_7|Aha, Cartojski m#lyn. W#e#s ga ju#zo, #do won jo?
Mainlaby_8|To jo ako w#su#di na sw#e#ye jano p#sa#sanje w#estego danka.
Mainlaby_9|Se w#e, a#z w#emy, kak a #do Cartojski m#lyn namaka#s. Ale sy chudy golc a njama#s nic w kapsy.
Mainlaby_10|Se w#e. Pr#edny raz jo to hy#s#ci zadermo. P#yiducy raz pak to p#la#yi kro#syk. Wokognu#ye...
Mainlaby_11|To jo ako w#su#di na sw#e#ye jano p#sa#sanje w#estego danka. Ale sy chudy golc a njama#s nic w kapsy.
Mainlaby_12|Ty se n#ekak pali#s.
Mainlaby_13|To ma#yo w zymje nanejmjenjej p#yecej r#ednje #yop#lo.
Mainlaby_14|Pop#sawem pytam Cartojski m#lyn.
Mainlaby_15|Pytam Cartojski m#lyn.
Mainlaby_16|N#e, nichten m#e njepomaga.
Mainlaby_17|Wodny mu#z jo groni#l, a#z mo#zo#yo wy m#e pomaga#s.
Mainlaby_18|Njenamakam wudrogi. Mo#zo#s m#e pomaga#y?
Mainlaby_19|Njenamakam wudrogi. Mo#zo#s m#e pomaga#y?
Mainlaby_20|Ach nic. Som se moli#l.
Mainlaby_21|Ja se skoro wro#yim.
Mainloc_1|Som p#yeklapany dos#c!
Mainloc_2|Hej, nic p#yed g#lowu!
Mainloc_3|Won jo prozny.
Mainloc_4|Awa!
Mainloc_5|Wjelgin zajmawe.
Mainloc_6|Z tym samym njamogu nic zachopi#y.
Mainloc_7|Som ju#zo l#epjej j#ed#l.
Mainloc_8|Z tym samym njamogu nic zachopi#y.
Mainloc_9|Trjebam wodu.
Mainloc_10|Trjebam wodu.
Mainloc_11|#Zort, abo?
Mainloc_12|Nic syru!
Mainloc_13|Hej, som bogaty!
Mainloc_14|Njejsom #lacny!
Mainloc_15|Awa!
Mainloc_16|Hej, to #lakos#ci!
Mainloc_17|Ten trjebam za Dinglingera.
Mainloc_18|Co z dowolnos#cu cu?
Mainloc_19|Co z dowolnos#cu cu?
Mainloc_20|Co z dowolnos#cu cu?
Mainloc_21|To dostanjo Dinglinger.
Mainloc_22|Co z drjewom cu?
Mainloc_23|Ako by m#e na#sa micka hajcka#la.
Mainloc_24|Co to dej?
Mainloc_25|Wjelgin zajmawe.
Mainloc_26|Kak to wugl#eda?
Mainloc_27|Ja tolerje ju#zo mam!
Mainloc_28|Ga#z m#e stra#za w m#es#ce ze s#lu#zabneju drastwu #lapijo, dostanjom zasej na#s#cokane.
Mainloc_29|Aw, to bejnje boli!
Mainloc_30|Mam ga twardu g#lowku!
Mainloc_31|Jo-lic to wupijom, budu wit#ye hy#s#ci pijany.
Mainloc_32|Ja p#sawy cas wotcyta#y njamogu.
Mainloc_33|Njok sebje zuby zwu#y#egowa#y!
Mainloc_34|Ten trjeba Dinglinger.
Mainloc_35|Zeleznu platu dostanjo Dinglinger.
Mainloc_36|Ja sebje nic p#yikaza#y njok.
Mainloc_37|Ten cu se z wosebnym lu#dom #d#eli#y!
Mainloc_38|W gro#de sm#eju se jano w s#lu#zabnej drastwje pokazowa#y!
Mainloc_39|Tu n#ent njetrjebam.
Mainloc_40|W knig#lach som ju#zo cyta#l.
Mainloc_41|Jano derje, a#z som w m#lynje t#sochu cyta#y nawuknu#l.
Mainloc_42|To njama zmys#la!
Mainloc_43|#Zedne g#lupos#ci!
Mainloc_44|Njejsom g#lodny ...
Mainloc_45|Potakem - knig#ly su wot w#estego #S#c#epana, ken#z w gorach grajo ... hmmm? #Diwne m#e!
Mainloc_46|Go#dinku pozd#dej ...
Mainloc_47|Knig#ly njejsu jano za #diwa#delnikow zajmne. N#ent te#z Krabat #zeden t#sach w#ecej njama.
Mainloc_48|Ow, ten sl#edny kusk ko#laca jo dobry by#l. Z po#lnym maganom se tak p#sawje mocny cujom.
Mainloc_49|Tak to njej#do!
Mainloc_50|To njama zmys#la!
Mainloc_51|To se hynac wu#zywa!
Mainloc_52|To njamogu cyni#y!
Mainloc_53|Lubjej nic!
Mainloc_54|To won njetrjeba!
Mainloc_55|To hy#s#ci trjebam!
Mainloc_56|To se wobchowam!
Mainloc_57|To wona njetrjeba!
Mainloc_58|To hy#s#ci trjebam!
Mainloc_59|To se wobchowam!
Mainloc_60|To woni njetrjebaju!
Mainloc_61|To hy#s#ci trjebam!
Mainloc_62|To se wobchowam!
Mainloc2_1|Co som #yi groni#l? To njejo nejkrot#sa droga! Sl#edk do m#lyna!
Mainloc2_2|Krabat, njes#lucha#s? Sl#edk...!
Mainloc2_3|Njama#s orientaciju? Nejkrot#sa droga!
Manega_1|Zelezny nag#lownik.
Manega_2|Grozny law.
Manega_3|Law spi.
Manega_4|K tomu groznemu lawoju njepoj#dom. Won m#e hy#s#ci kusnjo.
Manega_5|M#e se wostu#dijo. #Di m#e zboka!
Manega_6|Ja jogo njewubu#dijom!
Manega_7|Ja som m#lody kjarl z #Lu#zyce a #d#e#lam tencas pla krala.
Manega_8|Huch, ty mo#zo#s ze mnu pow#eda#y?
Manega_9|Se w#e. Som to nawuknu#l.
Manega_10|L#eta d#lujko njejsom mog#l z nikim pow#eda#y, a ty sy n#ent ju#zo drugi lu#d ten ty#de#n.
Manega_11|Njamaju woni how druge zw#erjeta, z kotarymi#z mo#zo#s pobachta#y, a chto jo by#l pop#sawem ten drugi lu#d?
Manega_12|Ach, ga#z druge zw#erjeta wi#dim, dostanjom jano apetit. To d#lujko njetrajo, a som taku m#lodu antilopu zj#ed#l. Som p#yecej g#lodny.
Manega_13|Po casu se na to zwucy#s. Ja som teke d#lujko dos#c g#lod t#sada#l. Chto ga jo n#ent ta druga wosoba by#la?
Manega_14|Grrr ..., to jo by#l taki stary #d#ed z kijom w ruce. Jo se m#e p#sa#sa#l za w#estym ... Krabatom ... - L#ec som jogo ju#zo raz pla krala wi#de#l?
Manega_15|Won dej n#ekaki s#lu#zabny by#y. Ty ga na kralojskem dworje #d#e#la#s - znajo#s ty jogo?
