Casnik_1|W#on tu stra#zuje.
Inventar_28|Hd#de jeno#z k#otwica d#der#zi?
Inventar_29|Kruty powjaz.
Inventar_30|Powjaz z k#otwicu. N#etko sym prawy pirat.
Inventar_31|5 tolerjow. Wjele to njeje!
Inventar_32|W tutej dras#ce wupadam ka#z dypornak.
Inventar_33|Do#lha hlebija.
Inventar_34|Z tym so ch#etro po#ci#s.
Inventar_35|Tak so wino njewupanca.
Inventar_36|Naru#kny s#l#on#kny #kasnik.
Inventar_37|#C#esliski hamor.
Inventar_38|To je klu#k do pok#ladni#s#ca.
Inventar_39|To bud#de raz krasna woporna #skla.
Inventar_40|Podpisany p#rikaz.
Inventar_41|To je skica woporneje #skl#e.
Inventar_42|To je zbytk wosu#ska.
Inventar_43|S#l#odny Drje#zd#danski wosu#sk.
Inventar_44|To je moja wosobinska drasta.
Inventar_45|To je karta domizny.
Inventar_46|#fPublikum a ja. Kak p#rewinu strachi.#F$Pom#ernje #ce#zka kniha to je.
Inventar_47|Woporna #skla. Klu#k za Koraktor.
Inventar_48|Stara kniha - KORAKTOR!
Inventar_49|Hoberski, #ke#zki kamje#n!
Inventar_50|Syno.
Inventar_51|Do horn#kka mi to njep#ri#nd#de!
Inventar_52|Njeje la#kna...
Inventar_53|N#e, to nochcu zapali#c!
Inventar_54|N#e, to nochcu zapali#c!
Inventar_55|Jedyn dosaha!
Inventar_56|Njeje #losko#ciwa.
Inventar_57|N#e, z tym pisa#c njem#o#zu.
Inventar_58|N#e, to nochcu zapali#c.
Inventar_59|N#e, to nochcu zapali#c.
Inventar_60|N#e, n#e. Wona ch#etro hubjenje hraje.
Inventar_61|Jeno#z tak? N#e!
Inventar_62|N#e#sto hi#s#ce pobrachuje!
Inventar_63|Njeje h#l#odna.
Inventar_64|N#e, to nochcu zapali#c.
Inventar_65|Wona wjace h#l#odna njeje.
Inventar_66|J#onu to dosaha.
Inventar_67|J#onu to dosaha.
Inventar_68|J#onu to dosaha.
Inventar_69|Hej, to je #kw#elowanje zw#erjatow!
Inventar_70|Do horn#kka mi to njep#ri#nd#de!
Inventar_71|Jeno#z tak? N#e!
Inventar_72|N#e#sto hi#s#ce pobrachuje!
Inventar_73|Jeno#z tak? N#e!
Inventar_74|To njem#o#zu do lista tykny#c!
Inventar_75|Kajke to wupada? List z to#lstym brjuchom.
Inventar_76|W#ezo. Potom kro#siki wjace njenamakam.
Inventar_77|To rad#so Dinglingerej p#rewostaju.
Inventar_78|Jeno#z tak? N#e!
Inventar_79|Tak nic.
Inventar_80|N#e, to nochcu zapali#c!
Inventar_81|To nje#nd#de.
Inventar_82|To so njehod#di.
Inventar_83|Tak nic.
Inventar_84|To ja njem#o#zu #kini#c.
Jama1_1|W#sud#de wa#za wa#kki. W#ezo su slinojte!
Jama1_2|Grawam so!
Jama1_3|Hej, kadla! #Sto tu pyta#s?
Jama1_4|Haj, #sto tu jeno#z pytam? To ani prawje njew#em.
Jama1_5|Hdy#z bud#de#s to w#ed#de#c, potom mje zawo#laj.
Jama1_6|N#e, n#e - tak to njem#enjach. Pomhaj#ce mi pro#su.
Jama1_7|P#richodny raz pak bjer so na ked#dbu!
Jewisco_1|Zajimawa to kniha z titulom: #fPublikum a ja. Kak p#rewinu strachi. Kniha za m#lodych d#diwad#delnikow.#F
Jewisco_2|To je prawa kniha za d#diwad#delnikow w komedijowym domje. Pom#ernje #ce#zka wona te#z je.
Jewisco_3|Tule chcu te#z raz za lud#di hra#c.
Jewisco_4|Hdy#z d#ostanje#s na tutym jewi#s#cu m#ocny p#riklesk - kajke je to za#ku#ce?!
Jewisco_5|Ow, ta kniha pak je #ce#zka!
Jewisco_6|Ja p#rihladowarjow nimam!
Jezba_1|Tak smale#se kralowski w#oz do srjed#di#s#ca sakskeje mocy, do Drje#zd#dan.
Jezba_2|Po #kasu so Awgust wjace za serbskeho pacho#la njezajimowa#se a tykny jeho do kralowskeje kuchnje. Krabat pak njeb#e#se s#lowa w#odneho mu#za a Kulowskeho fararja zaby#l.
Jitk1_1|Hm, tute durje su rje#n#se ha#k na#se ...
Jitk1_2|To je susod#dic wozy#kk.
Jitk1_3|Jara praktiski, ale za mnje jeno#z br#emjo.
Jitk1_4|Tu nicht#o doma njeje.
Jitk2_1|Hm, tute durje su rje#n#se ha#k na#se ...
Jitk2_2|To je susod#dic wozy#kk.
Jitk2_3|Jara praktiski, ale za mnje jeno#z br#emjo.
Jitk2_4|Tu nicht#o doma njeje.
Kapala_1|Dokumenty.
Kapala_2|Dokument.
Kapala_3|Dokument.
Kapala_4|N#e, to woporna #skla njeje.
Kapala_5|N#e, to woporna #skla njeje.
Kapala_6|N#e, to woporna #skla njeje.
Karta_1|Kulow
Karta_2|Njed#dichow
Karta_3|#Sunow
Karta_4|Ralbicy
Karta_5|Jitk
Karta_6|#Zd#dary
Karta_7|#Korny Cho#lmc
Komedij_1|Tajka wulka wopica!
Komedij_2|Wopicow znaju dos#c.
Komedij_3|Tajka wulka sekera.
Komedij_4|Sekeru njetrjebam.
Komedij_5|Drasta s#lu#zownika. Tu zaw#es#ce hi#s#ce trjebam.
Komedij_6|Hr#ozbna postawa.
Komedij_7|Ma#s zbo#zo, zo ju jeno#z wot zady wid#di#s!
Komedij_8|Mje#k.
Komedij_9|Tesaki.
Komedij_10|#Sto z postawu chcu?
Komedij_11|To je rekwizita za d#diwad#lo a jeno#z z drjewa.
Komedij_12|To su rekwizity a jeno#z z drjewa.
Konc_1|      Woprawd#de?
Konc_2| Haj
Konc_3|  N#e
Kuchnja_1|Kuchar tu kle#ki a my#se #l#oji.
Kuchnja_2|To je za hos#cinu p#rihotowane swinjo.
Kuchnja_3|Rjane jab#luko ma w tlamje.
Kuchnja_4|Wupada ka#z #ziwe!
Kuchnja_5|Drjewo za tepjenje.
Kuchnja_6|Drjewo so zaw#es#ce derje pali.
Kuchnja_7|Durje su zamknjene.
Kuchnja_8|To je kralowy zw#on#kk.
Kuchnja_9|Wid#du jeno#z njebjo.
Kuchnja_10|P#lomjenja so hnydom hasnu.
Kuchnja_11|N#etko prawje knyskota.
Kuchnja_12|Wusmu#z so scy#la porjadnje njewari!
Kuchnja_13|N#etko so wusmu#z porjadnje wari.
Kuchnja_14|Kruch drjewa hi#zo mam.
Kuchnja_15|Njejsym h#l#odny!
Kuchnja_16|Nimam klu#k!
Kuchnja_17|Rad#so nic!
Kuchnja_18|Tute wokno njedosahnu.
Kuchnja_19|Njejsym h#l#odny!
Kuchnja_20|Nochcu so spali#c!
Kuchnja_21|To nochcu zapali#c!
Kuchnja_22|Swinjo to wjace njetrjeba!
Kuchnja_23|Potom wusmu#z wjace njes#lod#di.
Kuchnja_24|K#otwica w swinje#cu? A #sto potom?
Kuchnja_25|Wjace drjewa njesm#em p#ri#lo#zi#c. Hewak so wusmu#z p#rewari!
Kuchnja_26|N#o haj, drjewa je tola dos#c!
Kuchnja_27|N#etko hrozy zaw#erno strach. Skoku pre#k!
Kuchnja_28|Ty njedo#kinko, zapo#katkarjo, amatero. Wo w#so dyrbju so sam stara#c!
Kuchnja_29|D#di mi z pu#ca! Ja chcu z profijemi d#d#e#la#c!
Kuchnja_30|Sym wo nim s#ly#sa#l.
Kuchnja_31|Twoje #za#lostne pra#senja - twoje #za#lostne #zwanje! Sy s#lu#zownik - tu#z d#d#e#laj!
Kuchnja_32|Haj w#sak! W#on je na kralowskim dworje jara nahladany #k#lowjek a s#lu#zownym nap#re#co p#reco dostojny - #sto#z ty #zenje njebud#de#s!
Kuchnja_33|W#on njer#eka Krabat, njeje zhni#ly a je n#e#sto porjadneho nawukny#l.
Kuchnja_34|Zahrodnik je dw#orski mechanikar Awgusta Sylneho, a kral ma p#reco n#ekajke wosebite nadawki za njeho.
Kuchnja_35|Hd#de w#on bydli? #Sto je jeho najlub#sa barba? Kotru hud#dbu rady s#lucha?
Kuchnja_36|Z kotrej nohu rano z #lo#za stanje? KRABATO - JA TO NJEW#EM!
Kuchnja_37|To #ce ni#ko njestara!
Kuchnja_38|Tak stary Awgust tola docy#la njeje, ale za swojich 28 l#et je tola hi#zo pom#ernje #ce#zki pacho#l.
Kuchnja_39|Haj, ale ty j#on njed#ostanje#s. D#d#e#laj!
Kuchnja_40|#Sto? Ja klinka#kk s#ly#sa#l njejsym. Nimo toho nima#s s#lu#zbnu drastu.
Kuchnja_41|Kak husto mam #ci to hi#s#ce pr#edowa#c? Bjez tutoho kostima w hrod#de ni#ko pyta#c nima#s.
Kuchnja_42|Hewak #ce stra#za hrabnje. Na k#oncu zaso w kuchni sed#di#s a ja d#ostanju swar. A w#e#s, zo swar hid#du!
Kuchnja_43|P#resta#n diskutowa#c. S#lu#zbna drasta je winowatos#c. Hewak zle#ci#s - a to runjewon do mojeje wulkeje kucharskeje #l#zicy,
Kuchnja_44|kotra#z potom - w#ezo cyle p#ripadnje - tu wosrjed#d kuchnje wisa a #ce dyri! Tu#z d#d#e#laj!
Kuchnja_45|To je francoski original - b#lazniwco! T#on sym wot swojeho mi#stra z Parisa d#osta#l.
Kuchnja_46|W#ezo! Tute rjane zw#erjo tamle na blid#de jeno#z #zenij - z tym sym ja m#enjeny - p#rihotowa#c zam#o#ze.
Kuchnja_47|Cyle prawje! Sym dyrbja#l w Parisu wosta#c. Tam su sej mje wa#zili. Ach, Paris!
Kuchnja_48|Mi so tak styska. Lubowana Francoska ... ach, Paris ...
Kuchnja_49|Znaje#s Handrija Zahrodnika?
Kuchnja_50|A dale? #Sto sy s#ly#sa#l wo Zahrodniku?
Kuchnja_51|Mamy tola hi#s#ce hod#dinku. Je w#on p#ristajeny krala?
Kuchnja_52|#Kehodla je Zahrodnik tak nahladany?
Kuchnja_53|A hd#de Handrij Zahrodnik bydli?
Kuchnja_54|W#ezo to w#e#s! Hd#de Zahrodnik bydli?
Kuchnja_55|Ma#s klu#k do hrodu?
Kuchnja_56|Mje je runje n#echt#o wo#la#l!
Kuchnja_57|Za #ko tajke n#e#sto trjebam? Sym te#z bjez tutoho kostima nahladny serbski pacho#l.
Kuchnja_58|S#lu#zbnu drastu? To wupadam ka#z dypornak!
Kuchnja_59|Ze swojej wulkej kucharskej #kapku mje docy#la njezrozumi#s!
Kuchnja_60|Ty wobknje#zi#s francosku kuchnju?
Kuchnja_61|Jab#luko swinje#cu do tlamy tykny#c - haj, to dowid#du, to jeno#z #zenij zam#o#ze.
Kuchnja_62|M#o#zu pro#su nimo?
Kuchnja_63|Hej - ty njedo#kinko! Wr#o#co! #Ki#n swoje d#d#e#lo!
Kuchnja_64|Njes#ly#si#s!? Wotskubaj hona#ka!
Kuchnja_65|Ty s#lowjanska heja! Wr#o#co!
Kuchnja_66|Njeteptaj mi na #kuwach! Ked#dbuj, zo so wusmu#z njep#rewari!
Kuchnja_67|Hladaj na wohe#n, zo so njehasnje!
Kuchnja_68|N#e, n#e. Kajkeho zhni#leho njeplecha je mi t#on stary jeno#z do kuchnje da#l.
Kuchnjaopen_1|To je za hos#cinu p#rihotowane swinjo.
Kuchnjaopen_2|Rjane jab#luko ma w tlamje.
Kuchnjaopen_3|Wupada ka#z #ziwe!
Kuchnjaopen_4|Drjewo za tepjenje.
Kuchnjaopen_5|Durje su zamknjene.
Kuchnjaopen_6|To je kralowy zw#on#kk.
Kuchnjaopen_7|Wid#du jeno#z njebjo.
Kuchnjaopen_8|P#lomjenja so hnydom hasnu.
Kuchnjaopen_9|N#etko prawje knyskota.
Kuchnjaopen_10|Wusmu#z so scy#la porjadnje njewari!
Kuchnjaopen_11|N#etko so wusmu#z porjadnje wari.
Kuchnjaopen_12|#Sto z drjewom chcu? Wohe#n w kachlach so wjace njepali.
Kuchnjaopen_13|Njejsym h#l#odny!
Kuchnjaopen_14|Nimam klu#k!
Kuchnjaopen_15|Rad#so nic!
Kuchnjaopen_16|Tute wokno njedosahnu.
Kuchnjaopen_17|Njejsym h#l#odny!
Kuchnjaopen_18|Nochcu so spali#c!
Kuchnjaopen_19|To nochcu zapali#c!
Kuchnjaopen_20|Swinjo to wjace njetrjeba!
Kuchnjaopen_21|Potom wusmu#z wjace njes#lod#di!
Kuchnjaopen_22|K#otwica w swinje#cu? A #sto potom?
Kuchnjaopen_23|Wjace drjewa njesm#em p#ri#lo#zi#c. Hewak so wusmu#z p#rewari!
Kuchnjaopen_24|N#o haj, drjewa je tola dos#c!
Kuchnjaopen_25|N#etko hrozy zaw#erno strach. Skoku pre#k!
Kuchnjaopen_26|Ty njedo#kinko, zapo#katkarjo, amatero. Wo w#so dyrbju so sam stara#c!
Kuchnjaopen_27|D#zi mi z pu#ca! Ja chcu z profijemi d#d#e#la#c!
Kulow1_1|Wikowar ma jeno#z jednu ruku.
Kulow1_2|W#on p#redawa ryby.
Kulow1_3|Drjewjana ryba - za wabjenje.
Kulow1_4|Durje do domskeho.
Kulow1_5|Tute durje su wo#kinjene.
Kulow1_6|Syno.
Kulow1_7|W sud#de je woda.
Kulow1_8|#Sto to dyrbi? Ruce pre#k!
Kulow1_9|Su zawrjene. Nimam klu#k.
Kulow1_10|Ty tu ni#ko pyta#c nima#s!
Kulow1_11|Wostaj durje wo#kinjene! Trjebam #kerstweho pow#etra.
Kulow1_12|Byrnje#z su durje wo#kinjene to njer#eka, zo sm#e#s zastupi#c. Zaso tajki burski h#olc!
Kulow1_13|To n#etko njetrjebam!
Kulow1_14|Njejsym la#kny.
Kulow1_15|Sudobjo je p#re#ce#zke.
Kulow1_16|To pak njeje #kerstwa ryba!
Kulow1_17|D#ostanje#s kro#sik - wjace nic!
Kulow1_18|Za #ko bych jeho dyrbja#l poch#losta#c?
Kulow1_19|Za #ko bych jeho dyrbja#l poch#losta#c?
Kulow1_20|Nochcu, zo so rozhn#ewa!
Kulow1_21|Nochcu, zo so rozhn#ewa!
Kulow1_22|To nochcu zapali#c!
Kulow1_23|Potom so b#orze cy#la wjes pali!
Kulow1_24|Ta ryba tu ni#ko pyta#c nima.
Kulow1_25|Muku, zorno, jah#ly - w#sitko, #sto#z je za #ziwjenje tr#ebne.
Kulow1_26|Ja muku te#z jeno#z pola druheho wikowarja nakupuju. Zorno pochad#da z Pruskeje.
Kulow1_27|Sym stary wojak. Domiznu nimam a tu#z so w#sud#de doma #kuju, hd#de#z sw#oj k#lobuk p#ojsnu.
Kulow1_28|Ach h#ol#ke! #Sto m#eni#s, #sto tajki wojak #kini? M#er zachowace naprawy?
Kulow1_29|Moja poslednja bitwa b#e 1683. B#ech tehdy wojak pod kurwjerchom Janom Jurjom III.
Kulow1_30|Turkojo stejachu p#red Wienom - to je w Rakuskej - a my wojowachmy w zwjaskarstwje z w#ojskom p#olskeho krala Jana Sobieskeho.
Kulow1_31|Horca b#e to bitwa - ale smy dobyli. Na tutu bitwu dopominatej moja falowaca ruka
Kulow1_32|a tak mjenowana #fTurkowska Studnja#F p#red hrodom w Drje#zd#danach.
Kulow1_33|W#ezo! Ja mam jeno#z #kerstwe ryby. #Sto ma to r#eka#c?
Kulow1_34|To mi tola #kerstwe p#redaj. L#etsa jich telko njeje.
Kulow1_35|Ach, to w#eri#s? #Ci chced#da jeno#z wjace kro#sikow za swoje #supiznate zw#erjata.
Kulow1_36|Tohodla pow#edaja lud#dom, a te#z mi, tajke blady. Ale jeli ma#s rybu na p#reda#n - ja #ci ju rady wotkupju.
Kulow1_37|Kruch #zrawca? Wokomik, to dyrbju skoku pohladny#c.
Kulow1_38|Wokomik, pohladnu.
Kulow1_39|#Sto ma#ce na p#reda#n?
Kulow1_40|Muku?! Hd#de da#ce zorno ml#e#c?
Kulow1_41|Zwotkel p#ri#nd#de#ce?
Kulow1_42|To s#ce jako wojak zaw#es#ce wjele hr#ozbneho wid#da#l?
Kulow1_43|W kotrej k#on#kinje s#ce to wojowa#l?
Kulow1_44|Ach, ni#ko - sym so myli#l.
Kulow1_45|D#dakuju so. Ja sej hi#s#ce druhe budki wobhladam.
Kulow1_46|Puh, su to woprawd#de #kerstwe ryby?
Kulow1_47|Tu smjerd#di za starymi rybami.
Kulow1_48|Wud#derjej p#ri Jitkowskim ha#ce m#enje#staj, zo l#etsa wjele rybow njeje.
Kulow1_49|Trjebam kruch #zrawca. Ale pro#su filet#erowany.
Kulow1_50|Pytam p#reco hi#s#ce kruch #zrawca.
Kulow1_51|Ach, ni#ko - sym so myli#l.
Kulow1_52|D#dakuju so. Ja sej hi#s#ce druhe budki wobhladam.
Kulow1_53|Hej, #zrawcow tola we #Lu#zicy #zanych njeje!
Kulow1_54|#Sto ja jeno#z #kinju? Sym #ci tola praji#l, zo tu #zrawcow njeje!
Kulow1_55|Hmmm - #s#cuki mam...
Kulow1_56|karpy mam...
Kulow1_57|Octopussy - ty stare swinjo!$Njem#o#ze#s tintu do korba wule#c.
Kulow1_58|Hmmm, karpy woprawd#de hi#zo trochu smjerd#da.
Kulow1_59|- bud#de#s ty -
Kulow1_60|w#sud#de tintowe blaki, wr#o#co do korba...
Kulow1_61|hmmm, wjelrybu mam...
Kulow2_1|Wikowar ma jeno#z jednu ruku.
Kulow2_2|W#on p#redawa ryby.
Kulow2_3|Durje do domskeho.
Kulow2_4|Tute durje su wo#kinjene.
Kulow2_5|Syno.
Kulow2_6|W sud#de je woda.
Kulow2_7|Su zawrjene. Nimam klu#k.
Kulow2_8|Ty tu ni#ko pyta#c nima#s!
Kulow2_9|Wostaj durje wo#kinjene! Trjebam #kerstweho pow#etra.
Kulow2_10|Byrnje#z su durje wo#kinjene to njer#eka, zo sm#e#s zastupi#c. Zaso tajki burski h#olc!
Kulow2_11|To n#etko njetrjebam!
Kulow2_12|Njejsym la#kny.
Kulow2_13|Sudobjo je p#re#ce#zke.
Kulow2_14|Za #ko bych jeho dyrbja#l poch#losta#c?
Kulow2_15|Za #ko bych jeho dyrbja#l poch#losta#c?
Kulow2_16|Nochcu, zo so rozhn#ewa!
Kulow2_17|Nochcu, zo so rozhn#ewa!
Kulow2_18|To nochcu zapali#c!
Kulow2_19|Potom so b#orze cy#la wjes pali!
Kulow2_20|Ta ryba tu ni#ko pyta#c nima.
Kulow2_21|Muku, zorno, jah#ly - w#sitko, #sto#z je za #ziwjenje tr#ebne.
Kulow2_22|Ja muku te#z jeno#z pola druheho wikowarja nakupuju. Zorno pochad#da z Pruskeje.
Kulow2_23|Sym stary wojak. Domiznu nimam a tu#z so w#sud#de doma #kuju, hd#de#z sw#oj k#lobuk p#ojsnu.
Kulow2_24|Ach h#ol#ke! #Sto m#eni#s, #sto tajki wojak #kini? M#er zachowace naprawy?
Kulow2_25|Moja poslednja bitwa b#e 1683. B#ech tehdy wojak pod kurwjerchom Janom Jurjom III.
Kulow2_26|Turkojo stejachu p#red Wienom - to je w Rakuskej - a my wojowachmy w zwjaskarstwje z w#ojskom p#olskeho krala Jana Sobieskeho.
Kulow2_27|Horca b#e to bitwa - ale smy dobyli. Na tutu bitwu dopominatej moja falowaca ruka
Kulow2_28|a tak mjenowana #fTurkowska Studnja#F p#red hrodom w Drje#zd#danach.
Kulow2_29|W#ezo! Ja mam jeno#z #kerstwe ryby. #Sto ma to r#eka#c?
Kulow2_30|To mi tola #kerstwe p#redaj. L#etsa jich telko njeje.
Kulow2_31|Ach, to w#eri#s? #Ci chced#da jeno#z wjace kro#sikow za swoje #supiznate zw#erjata.
Kulow2_32|Tohodla pow#edaja lud#dom, a te#z mi, tajke blady. Ale jeli ma#s rybu na p#reda#n - ja #ci ju rady wotkupju.
Kulow2_33|#Sto ma#ce na p#reda#n?
Kulow2_34|Muku?! Hd#de da#ce zorno ml#e#c?
Kulow2_35|Zwotkel p#ri#nd#de#ce?
Kulow2_36|To s#ce jako wojak zaw#es#ce wjele hr#ozbneho wid#da#l?
Kulow2_37|W kotrej k#on#kinje s#ce to wojowa#l?
Kulow2_38|Ach, ni#ko - sym so myli#l.
Kulow2_39|D#dakuju so. Ja sej hi#s#ce druhe budki wobhladam.
Kulow2_40|Puh, su to woprawd#de #kerstwe ryby?
Kulow2_41|Tu smjerd#di za starymi rybami.
Kulow2_42|Wud#derjo p#ri Jitkowskim ha#ce m#enjachu, zo l#etsa wjele rybow njeje.
Kulow2_43|Ach, ni#ko - sym so myli#l.
Kulow2_44|D#dakuju so. Ja sej hi#s#ce druhe budki wobhladam.
Kupa1_1|Rohod#d, ki#z p#ri kupje ros#ce.
Kupa1_2|Njem#o#zu dale. Tu faluje deska.
Kupa1_3|N#e, njesko#ku! To m#o#ze#s #kini#c, #sto#z chce#s. Hdy#z do wody padnu, so mi jeno#z wusm#eje#ce ...
Kupa1_4|Ty ma#s swoju wolu a ja moju. Tu njep#o#ndu!
Lodz_1|Rjana m#loda #zona.
Lodz_2|Tebje njeznaju.
Lodz_3|Ow, sy wosu#sk d#osta#l. Tak p#oj, kofej je hi#zo sp#rihotowany. Potom m#o#ze#s mi wo sebi pow#eda#c.
Lodz_4|Ow, sy wosu#sk d#osta#l. Tak p#oj, m#o#ze#s mi wo sebi pow#eda#c.
Lodz_5|Hod#dinu pozd#di#so ...
Lodz_6|Ja so #ci d#dakuju, Krabato: za wosu#sk, za wopyt a za #zortne pow#edki. Tule ma#s k#on#kk p#loneho #zeleza, hdy#z j#on tak nuznje trjeba#s.
Lodz_7|Ow, z tym sy mi woprawd#de jara pomha#la.
Lodz_8|Je n#etko #kas, zo #ci bo#zemje praju.
Lodz_9|Hej?! Hubka - a to za mnje?! M#o#ze#s to wospjetowa#c? Tajke n#e#sto s#l#odke hi#s#ce #zenje wopta#l njejsym.
Lodz_10|N#e. To p#rejara boli - we wutrobje. N#etko d#di!
Lodz_11|Wikuju ze #zelezom a rudu. P#ri#ndu z #K#eskeje a sym po #Lobju po pu#cu do Hamburga. Tam mje za n#e#sto dnjow wo#kakuja.
Lodz_12|Na #zadyn pad. Dyrbju w#sitko w Hamburgu woteda#c, a p#ri wikowanju ja te#z #zane kurjace w#o#kko njezat#l#o#ku.
Lodz_13|D#dakuju so za kompliment, ale tak m#loda w#sak hi#zo njejsym. W#ezo je to #ce#zke d#d#e#lo.
Lodz_14|#Sto pak sej chcu? Nimam nana a ma#c, a m#oj brat#rik n#e#sto k j#ed#di trjeba.
Lodz_15|To ma#s prawje. Namjetuju, zo wobstara#s wosu#sk - ale t#on prawy Drje#zd#danski - a ja mjeztym kofej zwarju.
Lodz_16|W#ezo. Sym l#etsa posledni raz tu a Drje#zd#danski wosu#sk lubuju. Na wikach w m#es#ce j#on zaw#es#ce d#ostanje#s. Ja dyrbju na #l#od#di wosta#c.
Lodz_17|P#re#cel krala?! Tak mi wupada#s. Hahahaha ...
Lodz_18|To je njewa#zne. Sy w#cipny mu#z! Nima#s ni#ko za d#d#e#lo?
Lodz_19|Kusk m#o#ska d#d#e hi#zo ma#s. Chiba so njejsy porjadne my#l?
Lodz_20|Haj, haj! #Ci m#lod#di mu#zojo.
Lodz_21|Wo tym nochcu r#e#ke#c, Krabato.
Lodz_22|#Sto na wa#sej #l#od#di rjane ma#ce?
Lodz_23|Ruda a #zelezo? Tajkile p#ripad! Trjebam p#lony kruch #zeleza.
Lodz_24|Njeje to #ce#zke d#d#e#lo za m#lodu holcu?
Lodz_25|K j#ed#di?! To je dobre hes#lo. Mi te#z n#ekak #zo#ldk kor#ki.
Lodz_26|Nazymu hi#zo wosu#sk?
Lodz_27|Mjenuja mje Krabat, sym p#re#cel krala.
Lodz_28|Kak poprawom r#eka#s?
Lodz_29|Sy mje woprawd#de #fmu#z#F mjenowa#la? Za druhich sym m#lody pacho#l, h#ol#kec abo jeno#z zhni#ly kadla.
Lodz_30|Bo#zedla! Ta broda hi#zo ch#etro drapa. To je wob#ce#zna w#ec.
Lodz_31|#Kehodla nima tajka #sikwana holca mu#za abo p#re#cela?
Lodz_32|Sym so myli#l. Dyrbju dale. Kral mje wo#la.
Mainlaby_1|T#on wbohi kadla so tola pali!
Mainlaby_2|Ow, kro#sik! Za to pokazam #ci pu#c do swobody.
Mainlaby_3|M#lynko, m#lynko - Krabat #ce wo#la - n#etk s#l#onco so za #cmowym l#esom chowa.
Mainlaby_4|W#on so tola hi#zo pali!
Mainlaby_5|W#ezo so palu. My smy b#ludni#kki, a ja sym jich nawoda.
Mainlaby_6|Rjany #zort. W #cop#lym l#e#cu je to potom trochu hinak. #Sto tu pyta#s?
Mainlaby_7|Aha, #Kertowski m#lyn. Ma#s da zda#ce, hd#de w#on je?
Mainlaby_8|To je - ka#z w#sud#de na sw#e#ce - jeno#z pra#senje w#esteje mzdy.
Mainlaby_9|W#ezo w#emy, kak a hd#de #Kertowski m#lyn namaka#s. Ale sy chudy pacho#l a nima#s ni#ko w zaku.
Mainlaby_10|W#ezo. Pr#eni raz je to hi#s#ce darmotnje. P#richodny raz pak to p#la#ci kro#siki. Wokomik ...
Mainlaby_11|To je - ka#z w#sud#de na sw#e#ce - jeno#z pra#senje w#esteje mzdy. Ale sy chudy pacho#l a nima#s ni#ko w zaku.
Mainlaby_12|Ty so n#ekak pali#s.
Mainlaby_13|To ma#ce w zymje znajmje#n#sa p#reco rjenje #cop#lo.
Mainlaby_14|Poprawom pytam #Kertowski m#lyn.
Mainlaby_15|Pytam #Kertowski m#lyn.
Mainlaby_16|N#e, nicht#o mi njepomha.
Mainlaby_17|W#odny mu#z praji, zo m#o#ze#ce wy mi pomha#c.
Mainlaby_18|Njenamakam wupu#c. M#o#ze#s mi pomha#c?
Mainlaby_19|Njenamakam wupu#c. M#o#ze#s mi pomha#c?
Mainlaby_20|Ach, ni#ko. Sym so myli#l.
Mainlaby_21|Ja so b#orze wr#o#cu.
Mainloc_1|Sym p#reklepany dos#c!
Mainloc_2|Hej, nic p#red h#lowu!
Mainloc_3|W#on je pr#ozdny!
Mainloc_4|Awa!
Mainloc_5|Jara putace.
Mainloc_6|Jeni#kce tole mi ni#ko njepomha!
Mainloc_7|Sym hi#zo l#ep#se j#ed#l.
Mainloc_8|Jeni#kce tole mi ni#ko njepomha!
Mainloc_9|Trjebam wodu.
Mainloc_10|Trjebam wodu.
Mainloc_11|#Zort, abo?
Mainloc_12|Nic syru!
Mainloc_13|Ah, n#etko je kro#sik padny#l!
Mainloc_14|Njejsym la#kny!
Mainloc_15|Awa!
Mainloc_16|Hej, to wosko#ci!
Mainloc_17|Trjebam je za Dinglingera.
Mainloc_18|#Sto z potwjerd#denku chcu?
Mainloc_19|#Sto z potwjerd#denku chcu?
Mainloc_20|#Sto z potwjerd#denku chcu?
Mainloc_21|To d#ostanje Dinglinger.
Mainloc_22|#Sto z drjewom chcu?
Mainloc_23|Ka#z by mje na#sa micka majka#la.
Mainloc_24|#Sto to dyrbi?
Mainloc_25|Jara putace.
Mainloc_26|Kajke to wupada?
Mainloc_27|Ja tolerje hi#zo mam!
Mainloc_28|Hdy#z mje stra#za w m#es#ce w s#lu#zbnej dras#ce lepi, d#ostanu zaso swarje.
Mainloc_29|Aw, to ch#etro boli!
Mainloc_30|Mam hi#zo twjerdu h#l#oj#kku!
Mainloc_31|Jeli to wupiju, budu jut#re hi#s#ce pjany!
Mainloc_32|Ja prawy #kas wot#kita#c njem#o#zu!
Mainloc_33|Nochcu sej zuby sk#oncowa#c!
Mainloc_34|T#on trjeba Dinglinger!
Mainloc_35|#Zelezo dam Dinglingerej.
Mainloc_36|Ja sej sam ni#ko p#rikaza#c nochcu!
Mainloc_37|T#on chcu sej z wosebitym #k#lowjekom d#d#eli#c!
Mainloc_38|W hrod#de sm#em so jeno#z w s#lu#zbnej dras#ce pohibowa#c!
Mainloc_39|Tu n#etko njetrjebam.
Mainloc_40|W knize sym hi#zo #kita#l.
Mainloc_41|Jeno#z derje, zo sym w m#lynje trochu #kita#c nawukny#l.
Mainloc_42|To nima zmys#la!
Mainloc_43|T#on #ce#zko w brju#se le#zi!
Mainloc_44|Njejsym h#l#odny ...
